Whisk_Name,URL,Num_Revs,Brand,Cost,Age,ABV,Flavor,Profile
TALISKER 30 YEAR,https://distiller.com/spirits/talisker-30-year,35,Talisker,spirit-cost cost-5,30 YEAR,45.8,NA,NA
LAPHROAIG 10 YEAR SHERRY OAK FINISH,https://distiller.com/spirits/laphroaig-10-year-sherry-oak-finish,35,Laphroaig,spirit-cost cost-4,10 YEAR,48.0,FULL BODIED & RICH,"{""smoky"":20,""peaty"":50,""spicy"":15,""herbal"":20,""oily"":20,""full_bodied"":85,""rich"":75,""sweet"":60,""briny"":15,""salty"":5,""vanilla"":15,""tart"":10,""fruity"":40,""floral"":0}"
LAPHROAIG 10 YEAR CASK STRENGTH BATCH 12,https://distiller.com/spirits/laphroaig-10-year-cask-strength-batch-12,32,Laphroaig,spirit-cost cost-4,10 YEAR,60.1,FULL BODIED & SMOKY,"{""smoky"":90,""peaty"":80,""spicy"":60,""herbal"":30,""oily"":50,""full_bodied"":90,""rich"":70,""sweet"":70,""briny"":50,""salty"":60,""vanilla"":80,""tart"":10,""fruity"":20,""floral"":10}"
MACLEOD'S ISLAY SINGLE MALT,https://distiller.com/spirits/macleod-s-islay-single-malt,36,,spirit-cost cost-5,,,NA,NA
BUNNAHABHAIN 8 YEAR THE MACPHAIL'S COLLECTION (GORDON & MACPHAIL),https://distiller.com/spirits/bunnahabhain-8-year-gordon-macphail,33,Gordon & MacPhail The MacPhail's Collection,spirit-cost cost-2,8 YEAR,43.0,PEATY,"{""smoky"":50,""peaty"":65,""spicy"":15,""herbal"":25,""oily"":30,""full_bodied"":35,""rich"":25,""sweet"":35,""briny"":5,""salty"":10,""vanilla"":25,""tart"":15,""fruity"":40,""floral"":10}"
ARDBEG BLASDA,https://distiller.com/spirits/ardbeg-blasda,30,Ardbeg,spirit-cost cost-4,NAS,40.0,NA,NA
BUNNAHABHAIN MÒINE (NEW PACKAGING),https://distiller.com/spirits/bunnahabhain-moine-new-packaging,29,,spirit-cost cost-3,,46.0,NA,NA
HIGHLAND PARK VOYAGE OF THE RAVEN,https://distiller.com/spirits/highland-park-voyage-of-the-raven,30,Highland Park,spirit-cost cost-3,NAS,41.3,NA,NA
TEACHER'S SINGLE MALT,https://distiller.com/spirits/teacher-s-single-malt,29,Teacher's,spirit-cost cost-3,NAS,40.0,NA,NA
ARDBEG SCORCH,https://distiller.com/spirits/ardbeg-scorch,32,Ardbeg,spirit-cost cost-4,NAS,46.0,NA,NA
LAGAVULIN 2001 DISTILLERS EDITION (BOTTLED 2017),https://distiller.com/spirits/lagavulin-2001-distillers-edition-bottled-2017,29,Lagavulin,spirit-cost cost-4,16 YEAR,43.0,NA,NA
JURA THE ROAD,https://distiller.com/spirits/jura-the-road,34,Jura,spirit-cost cost-4,NAS,43.6,FULL BODIED,"{""smoky"":10,""peaty"":5,""spicy"":35,""herbal"":30,""oily"":25,""full_bodied"":40,""rich"":30,""sweet"":30,""briny"":10,""salty"":5,""vanilla"":20,""tart"":30,""fruity"":20,""floral"":5}"
JURA THE SOUND,https://distiller.com/spirits/jura-the-sound,31,Jura,spirit-cost cost-3,NAS,42.5,NA,NA
BOWMORE 15 YEAR LAIMRIG,https://distiller.com/spirits/bowmore-laimrig-15-year,28,Bowmore,spirit-cost cost-4,15 YEAR,53.7,NA,NA
BENRIACH BIRNIE MOSS INTENSELY PEATED,https://distiller.com/spirits/benriach-birnie-moss-intensely-peated,29,Benriach,spirit-cost cost-2,NAS,48.0,NA,NA
LEDAIG DÙSGADH 42 YEAR,https://distiller.com/spirits/ledaig-dusgadh-42-year,30,Ledaig,spirit-cost cost-5,42 YEAR,46.3,NA,NA
HIGHLAND PARK FREYA,https://distiller.com/spirits/highland-park-freya,28,Highland Park,spirit-cost cost-5,15 YEAR,51.2,FRUITY & FLORAL,"{""smoky"":30,""peaty"":30,""spicy"":60,""herbal"":20,""oily"":30,""full_bodied"":50,""rich"":50,""sweet"":65,""briny"":30,""salty"":30,""vanilla"":60,""tart"":20,""fruity"":90,""floral"":70}"
BOWMORE DORUS MOR 10 YEAR,https://distiller.com/spirits/bowmore-dorus-mor-10-year,29,Bowmore,spirit-cost cost-4,10,55.1,FRUITY & SPICY,"{""smoky"":40,""peaty"":40,""spicy"":70,""herbal"":30,""oily"":30,""full_bodied"":50,""rich"":50,""sweet"":40,""briny"":0,""salty"":30,""vanilla"":20,""tart"":40,""fruity"":70,""floral"":30}"
GLEN GARIOCH 1994,https://distiller.com/spirits/glen-garioch-1994,28,Glen Garioch,spirit-cost cost-4,17,53.9,FRUITY & TART,"{""smoky"":30,""peaty"":30,""spicy"":60,""herbal"":40,""oily"":30,""full_bodied"":60,""rich"":60,""sweet"":50,""briny"":20,""salty"":0,""vanilla"":60,""tart"":60,""fruity"":70,""floral"":20}"
