Whisk_Name,URL,Num_Revs,Brand,Cost,Age,ABV,Flavor,Profile
TULLIBARDINE THE MURRAY MARSALA FINISH,https://distiller.com/spirits/tullibardine-the-murray-marsala-finish,8,Tullibardine,spirit-cost cost-3,NAS,46.0,SWEET,"{""smoky"":0,""peaty"":0,""spicy"":15,""herbal"":10,""oily"":40,""full_bodied"":35,""rich"":40,""sweet"":45,""briny"":0,""salty"":0,""vanilla"":20,""tart"":20,""fruity"":35,""floral"":10}"
GLENGLASSAUGH 30 YEAR,https://distiller.com/spirits/glenglassaugh-30-year,9,Glenglassaugh,spirit-cost cost-5,30 YEAR,42.0,NA,NA
LEDAIG 13 AMONTILLADO CASK FINISH,https://distiller.com/spirits/ledaig-13-amontillado-cask-finish,9,,spirit-cost cost-4,13,59.2,NA,NA
KILCHOMAN BOURBON SINGLE CASK,https://distiller.com/spirits/kilchoman-bourbon-single-cask,9,,spirit-cost cost-4,,59.0,NA,NA
DEANSTON 12 YEAR SHERRY OAK,https://distiller.com/spirits/deanston-12-year-sherry-oak,8,,spirit-cost cost-2,12,40.0,NA,NA
ARDBEG STILL YOUNG,https://distiller.com/spirits/ardbeg-still-young,8,,spirit-cost cost-5,7,56.2,NA,NA
GLENALLACHIE 25 YEAR,https://distiller.com/spirits/glenallachie-25-year,8,GlenAllachie,spirit-cost cost-5,25 YEAR,48.0,RICH,"{""smoky"":0,""peaty"":0,""spicy"":25,""herbal"":20,""oily"":40,""full_bodied"":35,""rich"":60,""sweet"":35,""briny"":0,""salty"":0,""vanilla"":10,""tart"":20,""fruity"":40,""floral"":10}"
IMPERIAL 1995 20 YEAR (THE ULTIMATE),https://distiller.com/spirits/imperial-1995-20-year-the-ultimate,8,The Ultimate Whisky Company,spirit-cost cost-5,20 YEAR,46.0,NA,NA
CAOL ILA 10 CONNOISSEUR’S CHOICE (GORDON & MACPHAIL),https://distiller.com/spirits/caol-ila-10-connoisseur-s-choice-gordon-macphail,8,,spirit-cost cost-3,10,46.0,NA,NA
GLENCADAM 18,https://distiller.com/spirits/glencadam-18,8,,spirit-cost cost-4,18,46.0,NA,NA
GLENMORANGIE GRAND VINTAGE 1989,https://distiller.com/spirits/glenmorangie-grand-vintage-1989,8,Glenmorangie,spirit-cost cost-5,NAS,43.0,FRUITY & SWEET,"{""smoky"":15,""peaty"":0,""spicy"":35,""herbal"":15,""oily"":15,""full_bodied"":50,""rich"":50,""sweet"":85,""briny"":10,""salty"":10,""vanilla"":25,""tart"":35,""fruity"":90,""floral"":55}"
LINKWOOD-GLENLIVET 23 YEAR SMALL BATCH (CADENHEAD'S),https://distiller.com/spirits/linkwood-glenlivet-23-years-cadenhead,8,Cadenhead Small Batch,spirit-cost cost-5,23 YEAR,55.0,NA,NA
TORMORE 1992 21 YEAR CASK #100 BERRYS' OWN (BERRY BROS & RUDD),https://distiller.com/spirits/tormore-1992-21-year-cask-100-berrys-own-berry-bros-rudd,9,Berrys' Own Selection,spirit-cost cost-4,21 YEAR,54.0,NA,NA
GLENALLACHIE 7 YEAR BATTLEHILL (DUNCAN TAYLOR),https://distiller.com/spirits/glenallachie-7-year-battlehill-duncan-taylor,8,Duncan Taylor Battlehill,spirit-cost cost-3,7 YEAR,55.0,NA,NA
GLEN SCOTIA 25 YEAR,https://distiller.com/spirits/glen-scotia-25-year,8,Glen Scotia,spirit-cost cost-5,25 YEAR,48.8,SPICY & SMOKY,"{""smoky"":75,""peaty"":30,""spicy"":75,""herbal"":50,""oily"":40,""full_bodied"":60,""rich"":60,""sweet"":55,""briny"":65,""salty"":60,""vanilla"":55,""tart"":45,""fruity"":70,""floral"":20}"
BRUICHLADDICH BERE BARLEY 2009,https://distiller.com/spirits/bruichladdich-bere-barley-2009,10,Bruichladdich,spirit-cost cost-3,NAS,50.0,NA,NA
SPEY 18 YEAR,https://distiller.com/spirits/spey-18-year,9,Spey,spirit-cost cost-3,18 YEAR,46.0,NA,NA
LINKWOOD 37 YEAR 1978 (2016 SPECIAL RELEASE),https://distiller.com/spirits/linkwood-37-year-1978-2016-special-release,10,Linkwood,spirit-cost cost-5,37 YEAR,50.3,FULL BODIED & FRUITY,"{""smoky"":10,""peaty"":0,""spicy"":50,""herbal"":40,""oily"":30,""full_bodied"":70,""rich"":50,""sweet"":40,""briny"":10,""salty"":60,""vanilla"":40,""tart"":30,""fruity"":60,""floral"":30}"
MANNOCHMORE 25 YEAR 1990 (2016 SPECIAL RELEASE),https://distiller.com/spirits/mannochmore-25-year-1990-2016-special-release,8,Mannochmore,spirit-cost cost-5,25 YEAR,53.4,NA,NA
OLD PULTENEY 1989 VINTAGE,https://distiller.com/spirits/old-pulteney-1989-vintage,8,Old Pulteney,spirit-cost cost-5,NAS,46.0,NA,NA
GLEN SPEY 12 YEAR FLORA & FAUNA,https://distiller.com/spirits/glen-spey-12-year-flora-fauna,9,Glen Spey,spirit-cost cost-3,,43.0,NA,NA
BRUICHLADDICH THE SIXTEENS BOURBON CASK AGED,https://distiller.com/spirits/bruichladdich-the-sixteens-bourbon-cask-aged,9,Bruichladdich,spirit-cost cost-4,16 YEAR,46.0,NA,NA
AINSLEY BRAE SAUTERNES CASK FINISH,https://distiller.com/spirits/ainsley-brae-sauternes-cask-finish,9,Ainsley Brae,spirit-cost cost-2,NAS,40.0,NA,NA
BRUICHLADDICH CUVEE 640 EROICA,https://distiller.com/spirits/bruichladdich-cuvee-640-eroica,8,Bruichladdich,spirit-cost cost-5,21 YEAR,46.0,NA,NA
ROYAL LOCHNAGAR SELECTED RESERVE,https://distiller.com/spirits/royal-lochnagar-selected-reserve,8,Royal Lochnagar,spirit-cost cost-5,NAS,43.0,NA,NA
JURA CAMAS AN STACA 30 YEAR,https://distiller.com/spirits/jura-camas-an-staca-30-year,8,Jura,spirit-cost cost-5,30 YEAR,44.0,SWEET & RICH,"{""smoky"":20,""peaty"":0,""spicy"":50,""herbal"":20,""oily"":20,""full_bodied"":70,""rich"":70,""sweet"":75,""briny"":20,""salty"":20,""vanilla"":40,""tart"":20,""fruity"":60,""floral"":30}"
GLENALLACHIE 10 YEAR OLD (CASK STRENGTH BATCH #5),https://distiller.com/spirits/glenallachie-10-year-old-cask-strength-batch-5,7,,spirit-cost cost-3,10,55.9,NA,NA
GLEN SCOTIA CAMPBELTOWN MALT FESTIVAL 2021,https://distiller.com/spirits/glen-scotia-campbeltown-malt-festival-2021,7,,spirit-cost cost-2,10,56.1,NA,NA
DALMORE 25 YEAR,https://distiller.com/spirits/dalmore-25-year,7,The Dalmore,spirit-cost cost-5,25 YEAR,42.0,NA,NA
SHIELDAIG SINGLE MALT SCOTCH WHISKY OLOROSO CASK EDITION,https://distiller.com/spirits/shieldaig-single-malt-scotch-whisky-oloroso-cask-edition,9,,spirit-cost cost-2,,43.0,NA,NA
GLEN FOHDRY DARAICH IAPANACH,https://distiller.com/spirits/glen-fohdry-daraich-iapanach,7,,spirit-cost cost-3,12,47.1,NA,NA
SILVER SEAL 12 YEAR,https://distiller.com/spirits/silver-seal-12-year,7,,spirit-cost cost-1,12,40.0,NA,NA
ISLAY GOLD ORLA,https://distiller.com/spirits/islay-gold-orla,7,,spirit-cost cost-2,,40.0,NA,NA
GLENGOYNE CASK STRENGTH BATCH NO. 007,https://distiller.com/spirits/glengoyne-cask-strength-batch-no-007,7,,spirit-cost cost-4,,58.9,NA,NA
MACALLAN CONCEPT NO. 2,https://distiller.com/spirits/macallan-concept-no-2,7,,spirit-cost cost-4,,40.0,NA,NA
MORTLACH 12 YRS. SINGLE MALT SCOTCH WHISKY,https://distiller.com/spirits/mortlach-12-yrs-single-malt-scotch-whisky,7,,spirit-cost cost-3,12,43.4,NA,NA
CU BOCAN CREATION 1,https://distiller.com/spirits/cu-bocan-creation-1,7,,spirit-cost cost-3,,46.0,NA,NA
THE MACALLAN RARE CASK BATCH NO. 2 (2017 RELEASE),https://distiller.com/spirits/the-macallan-rare-cask-batch-no-2-2017-release,7,,spirit-cost cost-5,,43.0,NA,NA
ABERLOUR 10 YEARS FOREST RESERVE,https://distiller.com/spirits/aberlour-10-years-forest-reserve,7,,spirit-cost cost-1,10,40.0,NA,NA
TALISKER 2003 (BOTTLED 2014) AMOROSO CASK FINISH - DISTILLERS EDITION,https://distiller.com/spirits/talisker-2003-bottled-2014-amoroso-cask-finish-distillers-edition,7,,spirit-cost cost-2,,45.8,NA,NA
GLENLIVET 13 YEAR SHERRY CASK MATURED,https://distiller.com/spirits/glenlivet-13-year-sherry-cask-matured,7,The Glenlivet,spirit-cost cost-4,13 YEAR,40.0,NA,NA
CRAIGELLACHIE EXCEPTIONAL CASK SERIES 19 YEAR SINGLE CASK,https://distiller.com/spirits/craigellachie-exceptional-cask-series-19-year-single-cask,7,Craigellachie,spirit-cost cost-5,19 YEAR,55.2,RICH & FULL BODIED,"{""smoky"":10,""peaty"":5,""spicy"":50,""herbal"":40,""oily"":60,""full_bodied"":65,""rich"":65,""sweet"":55,""briny"":20,""salty"":10,""vanilla"":55,""tart"":15,""fruity"":25,""floral"":20}"
THE BALVENIE TUN 1509 BATCH 6,https://distiller.com/spirits/the-balvenie-tun-1509-batch-6,7,The Balvenie,spirit-cost cost-5,NAS,50.4,NA,NA
HIGHLAND PARK 14,https://distiller.com/spirits/highland-park-14,7,,spirit-cost cost-3,,,NA,NA
COMPASS BOX MYTHS & LEGENDS II,https://distiller.com/spirits/compass-box-myths-legends-ii,7,Compass Box,spirit-cost cost-5,NAS,46.0,NA,NA
GLENALLACHIE 8 YEAR KOVAL RYE QUARTER CASK WOOD FINISH,https://distiller.com/spirits/glenallachie-8-year-koval-rye-quarter-cask-wood-finish,7,GlenAllachie,spirit-cost cost-3,8 YEAR,48.0,SPICY,"{""smoky"":0,""peaty"":0,""spicy"":50,""herbal"":10,""oily"":30,""full_bodied"":35,""rich"":35,""sweet"":10,""briny"":0,""salty"":0,""vanilla"":20,""tart"":25,""fruity"":30,""floral"":10}"
KIRKWALL BAY,https://distiller.com/spirits/kirkwall-bay,8,,spirit-cost cost-3,6,46.0,NA,NA
THE ARRAN MACHRIE MOORE CASK STRENGTH (5TH EDITION),https://distiller.com/spirits/the-arran-machrie-moore-cask-strength-5th-edition,7,,spirit-cost cost-4,,56.0,NA,NA
GLEN GARIOCH RENAISSANCE 17 CHAPITRE 3,https://distiller.com/spirits/glen-garioch-renaissance-17-chapitre-3,7,,spirit-cost cost-5,17,50.0,NA,NA
GLENDRONACH BOYNSMILL 16 YEAR,https://distiller.com/spirits/glendronach-boynsmill-16-year,9,GlenDronach,spirit-cost cost-4,16 YEAR,46.0,NA,NA
DALMORE CONSTELLATION 1979 CASK 1093 33 YEAR,https://distiller.com/spirits/dalmore-constellation-1979-cask-1093-33-year,7,The Dalmore,spirit-cost cost-5,33 YEAR,58.9,RICH & FRUITY,"{""smoky"":30,""peaty"":0,""spicy"":60,""herbal"":10,""oily"":0,""full_bodied"":70,""rich"":90,""sweet"":70,""briny"":0,""salty"":0,""vanilla"":40,""tart"":20,""fruity"":70,""floral"":20}"
SPEYBURN 25 YEAR,https://distiller.com/spirits/speyburn-25-year,8,Speyburn,spirit-cost cost-5,25 YEARS,46.0,SWEET & RICH,"{""smoky"":0,""peaty"":0,""spicy"":20,""herbal"":0,""oily"":15,""full_bodied"":70,""rich"":70,""sweet"":75,""briny"":0,""salty"":5,""vanilla"":40,""tart"":20,""fruity"":50,""floral"":0}"
ISLE OF RAASAY SIGNATURE SINGLE MALT BATCH 1,https://distiller.com/spirits/isle-of-raasay-signature-single-malt-batch-1,6,,spirit-cost cost-2,,46.4,NA,NA
TALISKER DISTILLERS EDITION 2001 - 2012,https://distiller.com/spirits/talisker-distillers-edition-2001-2012,6,,spirit-cost cost-3,10,45.8,NA,NA
GLENKINCHIE DISTILLERS EDITION (2020 RELEASE),https://distiller.com/spirits/glenkinchie-distillers-edition-2020-release,6,Glenkinchie,spirit-cost cost-4,NAS,43.0,NA,NA
CRAGGANMORE DISTILLERS EDITION (2020 RELEASE),https://distiller.com/spirits/cragganmore-distillers-edition-2020-release,6,Cragganmore,spirit-cost cost-4,NAS,40.0,NA,NA
JURA WINTER EDITION,https://distiller.com/spirits/jura-winter-edition,6,Jura,spirit-cost cost-2,NAS,40.0,FRUITY,"{""smoky"":0,""peaty"":0,""spicy"":40,""herbal"":20,""oily"":35,""full_bodied"":35,""rich"":30,""sweet"":30,""briny"":0,""salty"":0,""vanilla"":20,""tart"":35,""fruity"":40,""floral"":10}"
MACALLAN 15,https://distiller.com/spirits/macallan-15,6,,spirit-cost cost-1,15,43.0,NA,NA
GELFLING WING SEALANT (36.160 SMWS),https://distiller.com/spirits/gelfling-wing-sealant-36-160-smws,6,,spirit-cost cost-4,11,60.2,NA,NA
THE DALMORE VINTAGE 2007 AGED 10 YEARS,https://distiller.com/spirits/the-dalmore-vintage-2007-aged-10-years,6,,spirit-cost cost-3,10,46.0,NA,NA
ARRAN THE CÔTE-RÔTIE CASK FINISH,https://distiller.com/spirits/arran-the-cote-rotie-cask-finish,6,,spirit-cost cost-3,,50.0,NA,NA
ABERLOUR CASG ANNAMH (BATCH 2),https://distiller.com/spirits/aberlour-casg-annamh-batch-2,6,,spirit-cost cost-2,,,NA,NA
SPRINGBANK 10 YEAR LOCAL BARLEY (2019),https://distiller.com/spirits/springbank-10-year-local-barley-2019,6,,spirit-cost cost-5,10,56.2,NA,NA
PENCIL SHAVINGS FLOATING ON A ROCK POOL 66.142 (SMWS),https://distiller.com/spirits/pencil-shavings-floating-on-a-rock-pool-66-142-smws,6,SMWS,spirit-cost cost-3,12,61.1,NA,NA
EDRADOUR BALLECHIN 8 YEARS,https://distiller.com/spirits/edradour-ballechin-8-years,6,,spirit-cost cost-4,8,46.0,NA,NA
TOBERMORY 10 YEARS OLD,https://distiller.com/spirits/tobermory-10-years-old,6,,spirit-cost cost-2,10,40.0,NA,NA
EDRADOUR 2009 10 YEAR UN-CHILLFILTERED COLLECTION (SIGNATORY),https://distiller.com/spirits/edradour-2009-10-year-un-chillfiltered-collection-signatory,6,Signatory Un-Chillfiltered Collection,spirit-cost cost-2,10 YEAR,46.0,NA,NA
ANCNOC VINTAGE 2002,https://distiller.com/spirits/ancnoc-vintage-2002,6,anCnoc,spirit-cost cost-3,NAS,46.0,FRUITY,"{""smoky"":0,""peaty"":0,""spicy"":5,""herbal"":0,""oily"":0,""full_bodied"":5,""rich"":10,""sweet"":20,""briny"":0,""salty"":0,""vanilla"":20,""tart"":0,""fruity"":40,""floral"":0}"
ARRAN THE BOTHY QUARTER CASK BATCH 4,https://distiller.com/spirits/arran-the-bothy-quarter-cask-batch-4,7,,spirit-cost cost-3,9,53.8,NA,NA
BLAIR ATHOL 2007 11 YEAR 86 PROOF COLLECTION (SIGNATORY),https://distiller.com/spirits/blair-athol-2007-11-year-86-proof-collection-signatory,6,Signatory 86 Proof Collection,spirit-cost cost-2,11 YEAR,43.0,NA,NA
ABERLOUR WHITE OAK,https://distiller.com/spirits/aberlour-white-oak,6,,spirit-cost cost-2,10,40.0,NA,NA
GLENGOYNE TEAPOT DRAM BATCH NO. 006,https://distiller.com/spirits/glengoyne-teapot-dram-batch-6,6,Glengoyne,spirit-cost cost-4,NAS,59.3,NA,NA
GLEN MARNOCH SPEYSIDE SINGLE MALT SCOTCH WHISKY,https://distiller.com/spirits/glen-marnoch-speyside-single-malt-scotch-whisky,9,,spirit-cost cost-1,,40.0,NA,NA
TALISKER DISTILLERS EDITION DOUBLE MATURED,https://distiller.com/spirits/talisker-distillers-edition-double-matured,6,,spirit-cost cost-1,,45.0,NA,NA
THE GLENROTHES MINISTER'S RESERVE 21 YEAR,https://distiller.com/spirits/the-glenrothes-minister-s-reserve-21-year,6,The Glenrothes,spirit-cost cost-2,21 YEAR,43.0,NA,NA
LISMORE 18 YEAR,https://distiller.com/spirits/lismore-18-year,6,,spirit-cost cost-2,18,43.0,NA,NA
DAFTMILL 2006 WINTER BATCH RELEASE (UK),https://distiller.com/spirits/daftmill-2006-winter-batch-release-uk,6,Daftmill,spirit-cost cost-5,12 YEAR,46.0,NA,NA
GLENMORANGIE SHERRY WOOD FINISH,https://distiller.com/spirits/glenmorangie-sherry-wood-finish,6,,spirit-cost cost-4,,,NA,NA
LAPHROAIG CASK STRENGTH 2011 EDITION 25YO,https://distiller.com/spirits/laphroaig-cask-strength-2011-edition-25yo,7,,spirit-cost cost-5,25,48.6,NA,NA
THE HALF CENTURY BLEND BATCH 3,https://distiller.com/spirits/the-half-century-blend-batch-3,6,,spirit-cost cost-5,,,NA,NA
1770 GLASGOW SINGLE MALT RELEASE NO. 1,https://distiller.com/spirits/1770-glasgow-single-malt-release-no-1,7,1770 Whisky,spirit-cost cost-4,NAS,46.0,NA,NA
ARDBEG LORD OF THE ISLES,https://distiller.com/spirits/ardbeg-lord-of-the-isles,7,,spirit-cost cost-5,25,46.0,NA,NA
OBAN 15 YEAR 2001 MONTILLA FINO CASK DISTILLERS EDITION,https://distiller.com/spirits/oban-15-year-2001-montilla-fino-cask-distillers-edition,6,,spirit-cost cost-3,15,43.0,NA,NA
ABERFELDY 28 YEAR,https://distiller.com/spirits/aberfeldy-28-year,6,Aberfeldy,spirit-cost cost-5,28 YEAR,40.0,NA,NA
ARDBEG VERY YOUNG (6 YEAR),https://distiller.com/spirits/ardbeg-very-young-6-year,6,,spirit-cost cost-5,6,58.3,NA,NA
BRUICHLADDICH YELLOW SUBMARINE 1991,https://distiller.com/spirits/bruichladdich-yellow-submarine-1991,6,Bruichladdich,spirit-cost cost-5,25 YEAR,46.0,NA,NA
THE BALVENIE DOUBLEWOOD 25 YEAR,https://distiller.com/spirits/the-balvenie-doublewood-25-year,6,The Balvenie,spirit-cost cost-5,25 YEAR,43.0,NA,NA
BUNNAHABHAIN PX 14 YR DISTILLERY ONLY,https://distiller.com/spirits/bunnahabhain-px-14-yr-distillery-only,6,,spirit-cost cost-4,14,54.8,NA,NA
GLENDRONACH 1993 25 YEAR HAND-FILLED MANAGER'S CASK 400,https://distiller.com/spirits/glendronach-1993-25-year-hand-filled-manager-s-cask-400,6,,spirit-cost cost-5,25,53.6,NA,NA
GLENTAUCHERS 7 YEAR - BATTLEHILL (DUNCAN TAYLOR),https://distiller.com/spirits/glentauchers-7-year-battlehill-duncan-taylor,6,,spirit-cost cost-3,7,56.0,NA,NA
LEDAIG 19 YEAR MASARLA FINISH,https://distiller.com/spirits/ledaig-19-year-masarla-finish,7,,spirit-cost cost-4,19,51.0,NA,NA
GLENROTHES 1997 19 YEAR UN-CHILLFILTERED COLLECTION (SIGNATORY),https://distiller.com/spirits/glenrothes-1997-19-year-vintage-signatory,6,Signatory Un-Chillfiltered Collection,spirit-cost cost-4,19,46.0,NA,NA
GLENDRONACH 1990 27 YEAR SHERRY BUTT SINGLE CASK #2257,https://distiller.com/spirits/glendronach-1990-27-year-sherry-butt-single-cask-2257,6,GlenDronach,spirit-cost cost-5,27 YEAR,52.9,NA,NA
BRUICHLADDICH 1985/32 BOURBON: HIDDEN GLORY,https://distiller.com/spirits/bruichladdich-1985-32-bourbon-hidden-glory,6,Bruichladdich,spirit-cost cost-5,32 YEAR,48.7,FRUITY & SWEET,"{""smoky"":10,""peaty"":0,""spicy"":55,""herbal"":55,""oily"":40,""full_bodied"":60,""rich"":80,""sweet"":80,""briny"":30,""salty"":30,""vanilla"":60,""tart"":65,""fruity"":80,""floral"":40}"
BRUICHLADDICH 1986/30 SHERRY: THE MAGNIFICENT SEVEN,https://distiller.com/spirits/bruichladdich-1986-30-sherry-the-magnificent-seven,6,Bruichladdich,spirit-cost cost-5,30 YEAR,44.6,RICH & FULL BODIED,"{""smoky"":10,""peaty"":0,""spicy"":30,""herbal"":50,""oily"":50,""full_bodied"":90,""rich"":90,""sweet"":75,""briny"":55,""salty"":55,""vanilla"":60,""tart"":85,""fruity"":85,""floral"":30}"
BENRINNES 1997 17 YEAR CASK #9631 BERRYS' OWN (BERRY BROS & RUDD),https://distiller.com/spirits/benrinnes-1997-17-year-cask-9631-berrys-own-berry-bros-rudd,6,Berrys' Own Selection,spirit-cost cost-4,17 YEAR,46.0,NA,NA
GLEN ORD 2004 11 YEAR CASK #142 CASK COLLECTION (A.D. RATTRAY),https://distiller.com/spirits/glen-ord-2004-11-year-cask-142-cask-collection-a-d-rattray,6,A.D. Rattray Cask Collection,spirit-cost cost-3,11 YEAR,58.9,NA,NA
GLENBURGIE 15 YEAR DISTILLERY LABELS (GORDON & MACPHAIL),https://distiller.com/spirits/glenburgie-15-year-distillery-label-gordon-macphail,7,Gordon & MacPhail Distillery Labels,spirit-cost cost-4,15 YEAR,43.0,NA,NA
PITTYVAICH 1989 25 YEAR (2015 SPECIAL RELEASE),https://distiller.com/spirits/pittyvaich-1989-25-year-2015-special-release,7,Pittyvaich,spirit-cost cost-5,25 YEAR,49.9,NA,NA
OLD PULTENEY 1983 VINTAGE,https://distiller.com/spirits/old-pulteney-1983-vintage,6,Old Pulteney,spirit-cost cost-5,NAS,46.0,NA,NA
HIGHLAND QUEEN MAJESTY,https://distiller.com/spirits/highland-queen-majesty,7,,spirit-cost cost-2,16,40.0,NA,NA
GLEN GRANT 12 YEAR NON CHILL-FILTERED,https://distiller.com/spirits/glen-grant-12-ncf,8,Glen Grant,spirit-cost cost-3,12 YEAR,48.0,NA,NA
MORTLACH 25 YEAR DISTILLERY LABELS (GORDON & MACPHAIL),https://distiller.com/spirits/mortlach-25-year-distillery-labels-gordon-macphail,7,,spirit-cost cost-5,25,43.0,NA,NA
ANCOC 12,https://distiller.com/spirits/ancoc-12,7,,spirit-cost cost-2,12,40.0,NA,NA
GLENMORANGIE PORT WOOD FINISH,https://distiller.com/spirits/glenmorangie-port-wood-finish,7,,spirit-cost cost-4,,43.0,NA,NA
SPRINGBANK 25,https://distiller.com/spirits/springbank-25,8,,spirit-cost cost-5,25,46.0,NA,NA
HAMILTONS LOWLAND SINGLE MALT,https://distiller.com/spirits/hamiltons-lowland-single-malt,8,Hamiltons,spirit-cost cost-1,NAS,40.0,NA,NA
GLENGOYNE PEDRO XIMÉNEZ SHERRY CASK FINISH,https://distiller.com/spirits/glengoyne-pedro-ximenez-sherry-cask-finish,7,,spirit-cost cost-3,,46.0,NA,NA
TOMATIN 36 YEAR,https://distiller.com/spirits/tomatin-36-year,7,,spirit-cost cost-5,36 YEAR,46.0,NA,NA
BOWMORE 19 YEAR FRENCH OAK BARRIQUE,https://distiller.com/spirits/bowmore-19-year-french-oak-barrique,7,Bowmore,spirit-cost cost-4,19 YEAR,48.9,NA,NA
THE MACALLAN AERA,https://distiller.com/spirits/the-macallan-aera,9,,spirit-cost cost-4,,40.0,NA,NA
TOMATIN FIVE VIRTUES SERIES WATER EDITION,https://distiller.com/spirits/tomatin-five-virtues-series-water-edition,7,Tomatin,spirit-cost cost-2,NAS,46.0,FULL BODIED,"{""smoky"":0,""peaty"":0,""spicy"":25,""herbal"":10,""oily"":25,""full_bodied"":45,""rich"":40,""sweet"":25,""briny"":0,""salty"":0,""vanilla"":30,""tart"":20,""fruity"":30,""floral"":10}"
HAMILTONS SPEYSIDE SINGLE MALT,https://distiller.com/spirits/hamiltons-speyside-single-malt,7,Hamiltons,spirit-cost cost-2,NAS,40.0,NA,NA
GLEN GRANT 5 YEAR,https://distiller.com/spirits/glen-grant-5-year,7,,spirit-cost cost-1,5 YEAR,40.0,NA,NA
SPRINGBANK 15 YEAR. SPRINGBANK SOCIETY - SEPTEMBER 2018,https://distiller.com/spirits/springbank-15-year-springbank-society-september-2018,7,,spirit-cost cost-5,15,56.0,NA,NA
BUNNAHABHAIN 1988 28 YEAR CASK STRENGTH (ALEXANDER MURRAY & CO.),https://distiller.com/spirits/bunnahabhain-1988-28-year-cask-strength-alexander-murray-co,7,Alexander Murray & Co.,spirit-cost cost-5,28 YEAR,53.2,NA,NA
GLENMORANGIE A MIDWINTER NIGHT’S DRAM,https://distiller.com/spirits/glenmorangie-a-midwinter-night-s-dram,7,,spirit-cost cost-3,,43.0,NA,NA
TOBERMORY 2005 FINO CASK FINISH,https://distiller.com/spirits/tobermory-2005-fino-cask-finish,7,Tobermory,spirit-cost cost-4,12 YEAR,55.1,FULL BODIED & RICH,"{""smoky"":30,""peaty"":0,""spicy"":50,""herbal"":0,""oily"":40,""full_bodied"":90,""rich"":80,""sweet"":60,""briny"":30,""salty"":50,""vanilla"":20,""tart"":20,""fruity"":50,""floral"":20}"
GLENALLACHIE 10 YEAR CASK STRENGTH BATCH 2,https://distiller.com/spirits/the-glenallachie-10-year-cask-strength-batch-2,7,,spirit-cost cost-3,10 YEAR,54.8,NA,NA
BENROMACH CHÂTEAU CISSAC BORDEAUX WOOD FINISH 2010,https://distiller.com/spirits/benromach-chateau-cissac-bordeaux-wood-finish-2010,7,Benromach,spirit-cost cost-3,NAS,45.0,FULL BODIED,"{""smoky"":30,""peaty"":20,""spicy"":25,""herbal"":5,""oily"":40,""full_bodied"":55,""rich"":40,""sweet"":25,""briny"":0,""salty"":0,""vanilla"":20,""tart"":25,""fruity"":30,""floral"":10}"
THE GLENROTHES 25 YEAR,https://distiller.com/spirits/the-glenrothes-25-year,8,The Glenrothes,spirit-cost cost-5,25 YEAR,43.0,RICH & FULL BODIED,"{""smoky"":30,""peaty"":0,""spicy"":90,""herbal"":60,""oily"":50,""full_bodied"":100,""rich"":100,""sweet"":60,""briny"":10,""salty"":30,""vanilla"":30,""tart"":60,""fruity"":40,""floral"":20}"
FETTERCAIRN 7 YEAR - BATTLEHILL (DUNCAN TAYLOR),https://distiller.com/spirits/fettercairn-7-year-battlehill-duncan-taylor,7,,spirit-cost cost-3,7,56.0,NA,NA
BRAEVAL 1994 22 YEAR OLD (SAMAROLI),https://distiller.com/spirits/braeval-1994-22-year-old-samaroli,7,,spirit-cost cost-5,22,45.0,NA,NA
BOWMORE 15 YEAR FÈIS ÌLE 2018,https://distiller.com/spirits/bowmore-feis-ile-2018,7,Bowmore,spirit-cost cost-4,NAS,,NA,NA
GLENALLACHIE 1989 28 YEAR 50TH ANNIVERSARY BOTTLING #986,https://distiller.com/spirits/the-glenallachie-1989-28-year-50th-anniversary-bottling-986,7,GlenAllachie,spirit-cost cost-5,28 YEAR,57.7,RICH,"{""smoky"":5,""peaty"":0,""spicy"":20,""herbal"":10,""oily"":40,""full_bodied"":50,""rich"":55,""sweet"":30,""briny"":5,""salty"":0,""vanilla"":25,""tart"":50,""fruity"":45,""floral"":10}"
GLENTURRET 11 YEAR THE MACPHAIL'S COLLECTION (GORDON & MACPHAIL),https://distiller.com/spirits/glenturret-11-year-gordon-macphail,7,Gordon & MacPhail The MacPhail's Collection,spirit-cost cost-3,11,46.0,NA,NA
THE MACALLAN 2007 9 YEAR SPEYMALT (GORDON & MACPHAIL),https://distiller.com/spirits/the-macallan-2007-9-year-speymalt-gordon-macphail,7,,spirit-cost cost-3,9,43.0,NA,NA
EDRADOUR 2002 IBISCO DECANTER,https://distiller.com/spirits/edradour-2002-ibisco-decanter,7,,spirit-cost cost-4,14,55.0,NA,NA
ARRAN SINGLE CASK SHERRY CASK 1997,https://distiller.com/spirits/arran-single-cask-sherry-cask-1997,8,Arran,spirit-cost cost-4,NAS,56.5,NA,NA
CRAIGELLACHIE 31 YEAR,https://distiller.com/spirits/craigellachie-31-year,7,Craigellachie,spirit-cost cost-5,31 YEAR,52.2,FRUITY & VANILLA,"{""smoky"":40,""peaty"":0,""spicy"":50,""herbal"":0,""oily"":50,""full_bodied"":80,""rich"":80,""sweet"":60,""briny"":0,""salty"":20,""vanilla"":80,""tart"":20,""fruity"":80,""floral"":10}"
