Whisk_Name,URL,Num_Revs,Brand,Cost,Age,ABV,Flavor,Profile
GLENDRONACH GRANDEUR 27 YEAR BATCH 10,https://distiller.com/spirits/glendronach-grandeur-batch-10,13,GlenDronach,spirit-cost cost-5,27 YEAR,50.1,RICH & SWEET,"{""smoky"":10,""peaty"":0,""spicy"":25,""herbal"":20,""oily"":55,""full_bodied"":70,""rich"":80,""sweet"":70,""briny"":15,""salty"":10,""vanilla"":50,""tart"":20,""fruity"":35,""floral"":30}"
DEANSTON 20,https://distiller.com/spirits/deanston-20,13,,spirit-cost cost-4,20,55.3,NA,NA
KILCHOMAN PX FINISH SINGLE CASK RELEASE BC EXCLUSIVE,https://distiller.com/spirits/kilchoman-px-finish-single-cask-release-bc-exclusive,15,,spirit-cost cost-4,5,56.2,NA,NA
TRADER JOE’S HIGHLAND SINGLE MALT SCOTCH WHISKY AGED 10 YEARS,https://distiller.com/spirits/trader-joe-s-highland-single-malt-scotch-whisky-aged-10-years,22,,spirit-cost cost-1,10,40.0,NA,NA
GLENMORANGIE 19 YEAR,https://distiller.com/spirits/glenmorangie-19-year,23,,spirit-cost cost-4,19,43.0,NA,NA
GLEN GARIOCH 15 YEAR SHERRY CASK MATURED,https://distiller.com/spirits/glen_garioch_15_year_sherry_cask_matured,23,Glen Garioch,spirit-cost cost-4,15 YEAR,53.7,NA,NA
DALWHINNIE 25 YEAR,https://distiller.com/spirits/dalwhinnie-25-year,21,Dalwhinnie,spirit-cost cost-5,25 YEAR,48.8,NA,NA
TOMATIN 15 YEAR (46%),https://distiller.com/spirits/tomatin-15-year-46,23,Tomatin,spirit-cost cost-3,15 YEAR,46.0,VANILLA,"{""smoky"":0,""peaty"":0,""spicy"":30,""herbal"":10,""oily"":20,""full_bodied"":30,""rich"":25,""sweet"":30,""briny"":0,""salty"":0,""vanilla"":35,""tart"":10,""fruity"":30,""floral"":10}"
THE GLENROTHES MANSE RESERVE,https://distiller.com/spirits/the-glenrothes-manse-reserve,21,The Glenrothes,spirit-cost cost-2,NAS,43.0,NA,NA
CAOL ILA 15 YEAR UNPEATED STYLE (2014 SPECIAL RELEASE),https://distiller.com/spirits/caol-ila-15-year-unpeated-style,22,Caol Ila,spirit-cost cost-4,15 YEAR,60.39,NA,NA
BRUICHLADDICH THE LADDIE 16 YEAR,https://distiller.com/spirits/bruichladdich-the-laddie-sixteen,21,Bruichladdich,spirit-cost cost-5,16 YEAR,46.0,NA,NA
GLEN DEVERON 10 YEAR,https://distiller.com/spirits/glen-deveron-10-year,21,Macduff Distillery,spirit-cost cost-2,10 YEAR,40.0,NA,NA
MILTONDUFF 10 YEAR DISTILLERY LABELS (GORDON & MACPHAIL),https://distiller.com/spirits/miltonduff-10-year-gordon-macphail,22,Gordon & MacPhail Distillery Labels,spirit-cost cost-2,10 YEAR,40.0,NA,NA
HIGHLAND PARK LEIF ERIKSSON,https://distiller.com/spirits/highland-park-leif-eriksson,22,Highland Park,spirit-cost cost-3,NAS,40.0,NA,NA
THE MACALLAN DIRECTOR'S EDITION,https://distiller.com/spirits/the-macallan-directors-edition,22,The Macallan,spirit-cost cost-3,NAS,40.0,NA,NA
THE BALVENIE MADEIRA CASK 17 YEAR,https://distiller.com/spirits/the-balvenie-madeira-cask-17-year,22,The Balvenie,spirit-cost cost-5,17 YEAR,43.0,FRUITY & FULL BODIED,"{""smoky"":5,""peaty"":0,""spicy"":65,""herbal"":10,""oily"":15,""full_bodied"":65,""rich"":60,""sweet"":60,""briny"":5,""salty"":5,""vanilla"":40,""tart"":35,""fruity"":75,""floral"":15}"
EDRADOUR STRAIGHT FROM THE CASK PORT WOOD FINISH 12 YEAR,https://distiller.com/spirits/edradour-straight-from-the-cask-port-finish-12-year,21,Edradour,spirit-cost cost-4,12 YEAR,56.1,RICH & FULL BODIED,"{""smoky"":40,""peaty"":0,""spicy"":70,""herbal"":40,""oily"":80,""full_bodied"":100,""rich"":100,""sweet"":70,""briny"":50,""salty"":50,""vanilla"":80,""tart"":60,""fruity"":80,""floral"":90}"
BENRIACH SAUTERNES FINISH 16 YEAR,https://distiller.com/spirits/benriach-sauternes-finish-16-year,22,Benriach,spirit-cost cost-4,16,46.0,FRUITY & SWEET,"{""smoky"":10,""peaty"":0,""spicy"":60,""herbal"":30,""oily"":20,""full_bodied"":60,""rich"":60,""sweet"":80,""briny"":0,""salty"":0,""vanilla"":30,""tart"":50,""fruity"":80,""floral"":40}"
THE MACALLAN DOUBLE CASK 18 YEAR,https://distiller.com/spirits/the-macallan-double-cask-18-year,20,The Macallan,spirit-cost cost-5,18 YEAR,43.0,FRUITY & SWEET,"{""smoky"":25,""peaty"":0,""spicy"":55,""herbal"":25,""oily"":25,""full_bodied"":60,""rich"":60,""sweet"":60,""briny"":10,""salty"":10,""vanilla"":25,""tart"":35,""fruity"":65,""floral"":0}"
GLEN FOHDRY,https://distiller.com/spirits/glen-fohdry,22,,spirit-cost cost-2,,47.1,NA,NA
BLADNOCH 17 YEAR CALIFORNIA RED WINE CASK FINISH,https://distiller.com/spirits/bladnoch-17-year-california-red-wine-cask-finish,20,Bladnoch,spirit-cost cost-5,17 YEAR,46.7,NA,NA
THE ARRAN MALT SHERRY CASK FINISH SINGLE MALT,https://distiller.com/spirits/the-arran-malt-sherry-cask-finish-single-malt,21,,spirit-cost cost-3,,,NA,NA
THE MACALLAN RARE CASK BATCH NO.1 (2018 RELEASE),https://distiller.com/spirits/the-macallan-rare-cask-batch-no-1-2018-release,20,The Macallan,spirit-cost cost-5,NAS,43.0,NA,NA
BEINN DUBH- BLACK MOUNTAIN (THE SPEYSIDE DISTILLERY),https://distiller.com/spirits/beinn-dubh-black-mountain-the-speyside-distillery,20,,spirit-cost cost-2,,43.0,NA,NA
EDRADOUR THE FAIRY FLAG 15 YEAR,https://distiller.com/spirits/edradour-the-fairy-flag-15-year,20,Edradour,spirit-cost cost-4,15 YEAR,46.0,NA,NA
SPEY TRUTINA,https://distiller.com/spirits/spey-trutina,21,Spey,spirit-cost cost-2,NAS,46.0,FRUITY & VANILLA,"{""smoky"":0,""peaty"":0,""spicy"":15,""herbal"":20,""oily"":30,""full_bodied"":40,""rich"":40,""sweet"":65,""briny"":0,""salty"":0,""vanilla"":70,""tart"":60,""fruity"":70,""floral"":50}"
GLENGLASSAUGH OCTAVES CLASSIC,https://distiller.com/spirits/glenglassaugh-octaves-classic,20,Glenglassaugh,spirit-cost cost-3,NAS,44.0,NA,NA
MORTLACH SPECIAL STRENGTH,https://distiller.com/spirits/mortlach-special-strength,23,Mortlach,spirit-cost cost-4,NAS,49.0,NA,NA
GLENBURGIE 10 YEAR DISTILLERY LABELS (GORDON & MACPHAIL),https://distiller.com/spirits/glenburgie-10-year-gordon-macphail,21,Gordon & MacPhail Distillery Labels,spirit-cost cost-3,10 YEAR,40.0,NA,NA
BENRIACH 15 YEAR DARK RUM FINISH,https://distiller.com/spirits/benriach-15-year-dark-rum-finish,20,Benriach,spirit-cost cost-3,15 YEAR,46.0,SWEET & FRUITY,"{""smoky"":10,""peaty"":0,""spicy"":50,""herbal"":30,""oily"":20,""full_bodied"":60,""rich"":70,""sweet"":80,""briny"":0,""salty"":10,""vanilla"":70,""tart"":20,""fruity"":70,""floral"":50}"
GLEN GARIOCH 15 YEAR RENAISSANCE,https://distiller.com/spirits/glen-garioch-15-years-old-renaissance,21,Glen Garioch,spirit-cost cost-4,15 YEAR,51.9,RICH & FULL BODIED,"{""smoky"":0,""peaty"":0,""spicy"":25,""herbal"":5,""oily"":10,""full_bodied"":80,""rich"":80,""sweet"":70,""briny"":0,""salty"":0,""vanilla"":20,""tart"":0,""fruity"":30,""floral"":5}"
ISLAY GOLD SINGLE MALT SCOTCH WHISKY 10,https://distiller.com/spirits/islay-gold-single-malt-scotch-whisky-10,19,,spirit-cost cost-2,10,40.0,NA,NA
TOMATÍN 12 YEARS OLD BOURBON AND SHERRY CASKS,https://distiller.com/spirits/tomatin-12-years-old-bourbon-and-sherry-casks,23,,spirit-cost cost-2,12,40.0,NA,NA
BENROMACH CASK STRENGTH VINTAGE 2008 (BATCH 1),https://distiller.com/spirits/benromach-cask-strength-vintage-2008-batch-1,24,Benromach,spirit-cost cost-3,NAS,57.9,FULL BODIED,"{""smoky"":20,""peaty"":15,""spicy"":25,""herbal"":15,""oily"":40,""full_bodied"":55,""rich"":40,""sweet"":25,""briny"":5,""salty"":5,""vanilla"":25,""tart"":20,""fruity"":30,""floral"":10}"
THE SINGLETON OF DUFFTOWN 18 YEAR,https://distiller.com/spirits/the-singleton-of-dufftown-18-year,20,The Singleton,spirit-cost cost-3,18 YEAR,40.0,FLORAL,"{""smoky"":0,""peaty"":0,""spicy"":20,""herbal"":30,""oily"":10,""full_bodied"":30,""rich"":25,""sweet"":30,""briny"":0,""salty"":0,""vanilla"":30,""tart"":30,""fruity"":35,""floral"":40}"
BALNELLAN,https://distiller.com/spirits/balnellan,20,,spirit-cost cost-2,,40.0,NA,NA
SPRINGBANK 9 YEAR LOCAL BARLEY,https://distiller.com/spirits/springbank-9-year-local-barley,21,Springbank,spirit-cost cost-4,9 YEAR,57.7,RICH & FULL BODIED,"{""smoky"":25,""peaty"":25,""spicy"":10,""herbal"":20,""oily"":60,""full_bodied"":65,""rich"":65,""sweet"":20,""briny"":25,""salty"":10,""vanilla"":30,""tart"":15,""fruity"":40,""floral"":5}"
GLEN FOHDRY LÀN-ABAICH 21 YEAR,https://distiller.com/spirits/glen-fohdry-lan-abaich-21-year,20,Glen Fohdry,spirit-cost cost-3,21 YEAR,57.1,NA,NA
AUCHENTOSHAN DISTILLERY CASK,https://distiller.com/spirits/auchentoshan-distillery-cask,22,Auchentoshan,spirit-cost cost-5,NAS,59.8,NA,NA
INCHGOWER 14 YEAR FLORA & FAUNA,https://distiller.com/spirits/inchgower-14-year-flora-fauna,19,Inchgower,spirit-cost cost-2,14 YEAR,43.0,NA,NA
BRUICHLADDICH BLACK ART 1989 03.1 EDITION 22 YEAR,https://distiller.com/spirits/bruichladdich-black-art-3-1989,19,Bruichladdich,spirit-cost cost-5,22 YEAR,48.7,NA,NA
GLENFARCLAS 8 YEAR,https://distiller.com/spirits/glenfarclas-8-year,21,Glenfarclas,spirit-cost cost-4,8 YEAR,40.0,SWEET & FLORAL,"{""smoky"":0,""peaty"":0,""spicy"":45,""herbal"":45,""oily"":20,""full_bodied"":30,""rich"":15,""sweet"":65,""briny"":0,""salty"":0,""vanilla"":60,""tart"":55,""fruity"":60,""floral"":60}"
THE BALVENIE SHERRYOAK 17 YEAR,https://distiller.com/spirits/the-balvenie-sherryoak-17-year,19,The Balvenie,spirit-cost cost-5,17 YEAR,43.0,NA,NA
SPRINGBANK 17 YEAR SHERRY WOOD,https://distiller.com/spirits/springbank-17-year-sherry-wood,20,Springbank,spirit-cost cost-4,17 YEAR,52.3,NA,NA
HAZELBURN OLOROSO MATURED 14 YR,https://distiller.com/spirits/hazelburn-oloroso-matured-14-yr,30,,spirit-cost cost-4,14,49.3,NA,NA
ARDBEG 22,https://distiller.com/spirits/ardbeg-22,18,,spirit-cost cost-5,22,,NA,NA
GLENGOYNE CUARTILLO,https://distiller.com/spirits/glengoyne-cuartillo,20,,spirit-cost cost-2,,40.0,NA,NA
CAOL ILA 15 YEAR UNPEATED STYLE (2018 SPECIAL RELEASE),https://distiller.com/spirits/caol-ila-15-year-unpeated-style-2018-special-release,20,Caol Ila,spirit-cost cost-4,15 YEAR,59.1,NA,NA
HAZELBURN 9 YEAR BAROLO CASK,https://distiller.com/spirits/hazelburn-9-year-barolo-cask,19,,spirit-cost cost-3,9,57.9,NA,NA
DEANSTON 14 YEAR ORGANIC,https://distiller.com/spirits/deanston-14-year-old-organic,19,Deanston,spirit-cost cost-4,14 YEAR,46.3,NA,NA
TULLIBARDINE THE MURRAY CHATEAUNEUF DU PAPE FINISH,https://distiller.com/spirits/tullibardine-the-murray-chateauneuf-du-pape-finish,20,Tullibardine,spirit-cost cost-4,NAS,49.0,NA,NA
KILCHOMAN ORIGINAL CASK STRENGTH (2016 RELEASE),https://distiller.com/spirits/kilchoman-original-cask-strength-2016-release,19,Kilchoman,spirit-cost cost-4,6 YEAR,56.9,NA,NA
BUNNAHABHAIN MOINE,https://distiller.com/spirits/bunnahabhain-moine,18,Bunnahabhain,spirit-cost cost-2,NAS,46.3,NA,NA
THE BALVENIE TRIPLE CASK 25 YEAR,https://distiller.com/spirits/the-balvenie-triple-cask-25-year,28,The Balvenie,spirit-cost cost-5,25 YEAR,40.0,NA,NA
ARRAN THE DEVIL'S PUNCH BOWL CHAPTER III THE FIENDISH FINALE,https://distiller.com/spirits/arran-the-devil-s-punchbowl-chapter-iii-the-fiendish-finale,27,Arran,spirit-cost cost-4,NAS,53.0,SPICY & RICH,"{""smoky"":20,""peaty"":10,""spicy"":90,""herbal"":40,""oily"":70,""full_bodied"":70,""rich"":80,""sweet"":70,""briny"":40,""salty"":30,""vanilla"":50,""tart"":60,""fruity"":70,""floral"":50}"
ROYAL LOCHNAGAR DISTILLERS EDITION,https://distiller.com/spirits/royal-lochnagar-distillers-edition,27,Royal Lochnagar,spirit-cost cost-4,,40.0,FLORAL & FRUITY,"{""smoky"":20,""peaty"":20,""spicy"":50,""herbal"":30,""oily"":50,""full_bodied"":60,""rich"":60,""sweet"":60,""briny"":10,""salty"":10,""vanilla"":60,""tart"":50,""fruity"":70,""floral"":70}"
WOLFBURN LANGSKIP,https://distiller.com/spirits/wolfburn-langskip,26,,spirit-cost cost-3,5,58.0,NA,NA
GLEN MORAY ELGIN CLASSIC CABERNET CASK FINISH,https://distiller.com/spirits/glen-moray-elgin-classic-cabernet-cask-finish,29,Glen Moray,spirit-cost cost-2,NAS,40.0,NA,NA
KNOCKANDO 21 YEAR MASTER RESERVE (1994),https://distiller.com/spirits/knockando-21-year-master-reserve-1994,26,Knockando,spirit-cost cost-3,21 YEAR,43.0,NA,NA
SPEY RIVER 12 YEAR,https://distiller.com/spirits/spey-river-12-year,28,Spey River,spirit-cost cost-3,12 YEAR,40.0,NA,NA
THE BALVENIE FOUNDER'S RESERVE 10 YEAR,https://distiller.com/spirits/the-balvenie-founders-reserve-10-year,27,The Balvenie,spirit-cost cost-5,10 YEAR,40.0,NA,NA
GLENMORANGIE BURGUNDY WOOD FINISH 12 YEAR,https://distiller.com/spirits/glenmorangie-burgundy-wood-finish-12-year,28,Glenmorangie,spirit-cost cost-4,12 YEAR,43.0,FRUITY & RICH,"{""smoky"":0,""peaty"":0,""spicy"":50,""herbal"":20,""oily"":30,""full_bodied"":80,""rich"":80,""sweet"":70,""briny"":30,""salty"":40,""vanilla"":60,""tart"":50,""fruity"":80,""floral"":50}"
BALBLAIR 2000 1ST RELEASE,https://distiller.com/spirits/balblair-2000-1st-release,27,Balblair,spirit-cost cost-3,,43.0,FRUITY & VANILLA,"{""smoky"":30,""peaty"":0,""spicy"":40,""herbal"":20,""oily"":20,""full_bodied"":60,""rich"":60,""sweet"":70,""briny"":0,""salty"":30,""vanilla"":70,""tart"":30,""fruity"":70,""floral"":20}"
BALBLAIR 1997 1ST RELEASE,https://distiller.com/spirits/balblair-1997-1st-release,28,Balblair,spirit-cost cost-3,,43.0,SWEET & FRUITY,"{""smoky"":0,""peaty"":0,""spicy"":40,""herbal"":20,""oily"":20,""full_bodied"":60,""rich"":60,""sweet"":80,""briny"":0,""salty"":0,""vanilla"":60,""tart"":30,""fruity"":60,""floral"":20}"
GLENMORANGIE MALAGA CASK FINISH 12 YEAR,https://distiller.com/spirits/glenmorangie-malaga-cask-finish-12-year,29,Glenmorangie,spirit-cost cost-1,12 YEAR,47.3,NA,NA
"ARRAN QUARTER CASK ""THE BOTHY""",https://distiller.com/spirits/arran-quarter-cask-the-bothy,30,Arran,spirit-cost cost-3,NAS,56.2,NA,NA
KILCHOMAN UNITED STATES OF AMERICA SMALL BATCH,https://distiller.com/spirits/kilchoman-united-states-of-america-small-batch,26,,spirit-cost cost-3,,48.5,NA,NA
THE MACALLAN ESTATE,https://distiller.com/spirits/the-macallan-estate,29,The Macallan,spirit-cost cost-5,NAS,43.0,NA,NA
BENRIACH 21 YEAR,https://distiller.com/spirits/benriach-21-year,26,Benriach,spirit-cost cost-5,21 YEAR,46.0,NA,NA
KNOCKANDO 15 YEAR,https://distiller.com/spirits/knockando-15-year,26,Knockando,spirit-cost cost-3,15 YEAR,43.0,FRUITY & SWEET,"{""smoky"":0,""peaty"":0,""spicy"":50,""herbal"":0,""oily"":40,""full_bodied"":60,""rich"":60,""sweet"":70,""briny"":0,""salty"":0,""vanilla"":50,""tart"":50,""fruity"":70,""floral"":20}"
GLEN MORAY PORT CASK FINISH 25 YEAR,https://distiller.com/spirits/glen-moray-25-year-port-cask-finish,27,Glen Moray,spirit-cost cost-5,25 YEAR,43.0,NA,NA
DALMORE 21 YEAR,https://distiller.com/spirits/dalmore-21-year,27,The Dalmore,spirit-cost cost-5,21 YEAR,42.0,NA,NA
CAOL ILA STITCHELL RESERVE (2013 SPECIAL RELEASE),https://distiller.com/spirits/caol-ila-stitchell-reserve-2013-special-release,27,Caol Ila,spirit-cost cost-4,NAS,59.6,HERBAL & SPICY,"{""smoky"":60,""peaty"":0,""spicy"":70,""herbal"":70,""oily"":30,""full_bodied"":50,""rich"":50,""sweet"":60,""briny"":60,""salty"":40,""vanilla"":50,""tart"":30,""fruity"":40,""floral"":60}"
LISMORE THE LEGEND 21 YEAR,https://distiller.com/spirits/lismore-the-legend-21-year,28,Lismore,spirit-cost cost-3,21 YEAR,40.0,NA,NA
THE GLENLIVET 12 YEAR OLD,https://distiller.com/spirits/the-glenlivet-12-year-old,25,,spirit-cost cost-2,12,40.0,NA,NA
BRUICHLADDICH BLACK ART 1994 07.1 EDITION 25 YEAR,https://distiller.com/spirits/bruichladdich-black-art-1994-07-1-edition-25-year,24,Bruichladdich,spirit-cost cost-5,25 YEAR,48.4,RICH,"{""smoky"":0,""peaty"":0,""spicy"":10,""herbal"":25,""oily"":50,""full_bodied"":45,""rich"":60,""sweet"":35,""briny"":0,""salty"":0,""vanilla"":30,""tart"":25,""fruity"":35,""floral"":20}"
GLENFIDDICH RESERVED SHERRY CASK,https://distiller.com/spirits/glenfiddich-reserved-sherry-cask,26,,spirit-cost cost-3,,40.0,NA,NA
SPEY TENNÉ,https://distiller.com/spirits/spey-tenne,26,,spirit-cost cost-5,,46.0,NA,NA
GLENFARCLAS 30 YEAR,https://distiller.com/spirits/glenfarclas-30-year,25,Glenfarclas,spirit-cost cost-5,30 YEAR,43.0,RICH,"{""smoky"":0,""peaty"":0,""spicy"":25,""herbal"":0,""oily"":0,""full_bodied"":15,""rich"":25,""sweet"":15,""briny"":0,""salty"":0,""vanilla"":0,""tart"":0,""fruity"":20,""floral"":0}"
THE BALVENIE SINGLE BARREL 25 YEAR,https://distiller.com/spirits/the-balvenie-single-barrel-25-year,28,The Balvenie,spirit-cost cost-5,25 YEAR,47.8,SWEET & PEATY,"{""smoky"":30,""peaty"":70,""spicy"":40,""herbal"":60,""oily"":50,""full_bodied"":60,""rich"":60,""sweet"":70,""briny"":30,""salty"":20,""vanilla"":50,""tart"":20,""fruity"":50,""floral"":30}"
MORTLACH 21 YEAR DISTILLERY LABELS (GORDON & MACPHAIL),https://distiller.com/spirits/mortlach-21,24,Gordon & MacPhail Distillery Labels,spirit-cost cost-4,21 YEAR,43.0,FULL BODIED,"{""smoky"":20,""peaty"":0,""spicy"":40,""herbal"":5,""oily"":25,""full_bodied"":50,""rich"":40,""sweet"":10,""briny"":0,""salty"":0,""vanilla"":25,""tart"":30,""fruity"":25,""floral"":30}"
TOMINTOUL 21 YEAR,https://distiller.com/spirits/tomintoul-21-year,24,Tomintoul,spirit-cost cost-4,21 YEARS,40.0,NA,NA
DALMORE GRAN RESERVA,https://distiller.com/spirits/dalmore-gran-reserva,25,The Dalmore,spirit-cost cost-3,NAS,40.0,FRUITY & SWEET,"{""smoky"":30,""peaty"":0,""spicy"":70,""herbal"":30,""oily"":20,""full_bodied"":60,""rich"":70,""sweet"":80,""briny"":0,""salty"":0,""vanilla"":50,""tart"":20,""fruity"":80,""floral"":10}"
