Whisk_Name,Whisk_Type,Whisk_Loc,Communal_Rating,Distiller_Score,URL,Num_Revs,Brand,Cost,Age,ABV,Flavor,Profile,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral,Distiller
TULLIBARDINE THE MURRAY MARSALA FINISH,Single Malt,HIGHLAND,4.19,86.0,https://distiller.com/spirits/tullibardine-the-murray-marsala-finish,8,TULLIBARDINE,3,NAS,46.0,SWEET,"{""smoky"":0,""peaty"":0,""spicy"":15,""herbal"":10,""oily"":40,""full_bodied"":35,""rich"":40,""sweet"":45,""briny"":0,""salty"":0,""vanilla"":20,""tart"":20,""fruity"":35,""floral"":10}",0.0,0.0,15.0,10.0,40.0,35.0,40.0,45.0,0.0,0.0,20.0,20.0,35.0,10.0,TULLIBARDINE
GLENGLASSAUGH 30 YEAR,Single Malt,HIGHLAND,4.38,,https://distiller.com/spirits/glenglassaugh-30-year,9,GLENGLASSAUGH,5,30,42.0,,,,,,,,,,,,,,,,,GLENGLASSAUGH
LEDAIG 13 AMONTILLADO CASK FINISH,Single Malt,ISLANDS,3.84,,https://distiller.com/spirits/ledaig-13-amontillado-cask-finish,9,,4,13,59.2,,,,,,,,,,,,,,,,,OTHER
KILCHOMAN BOURBON SINGLE CASK,Single Malt,ISLAY,3.03,,https://distiller.com/spirits/kilchoman-bourbon-single-cask,9,,4,NAS,59.0,,,,,,,,,,,,,,,,,KILCHOMAN
DEANSTON 12 YEAR SHERRY OAK,Single Malt,HIGHLAND,3.34,,https://distiller.com/spirits/deanston-12-year-sherry-oak,8,,2,12,40.0,,,,,,,,,,,,,,,,,DEANSTON
ARDBEG STILL YOUNG,Single Malt,ISLAY,4.03,,https://distiller.com/spirits/ardbeg-still-young,8,,5,7,56.2,,,,,,,,,,,,,,,,,ARDBEG
GLENALLACHIE 25 YEAR,Single Malt,SPEYSIDE,3.75,89.0,https://distiller.com/spirits/glenallachie-25-year,8,GLENALLACHIE,5,25,48.0,RICH,"{""smoky"":0,""peaty"":0,""spicy"":25,""herbal"":20,""oily"":40,""full_bodied"":35,""rich"":60,""sweet"":35,""briny"":0,""salty"":0,""vanilla"":10,""tart"":20,""fruity"":40,""floral"":10}",0.0,0.0,25.0,20.0,40.0,35.0,60.0,35.0,0.0,0.0,10.0,20.0,40.0,10.0,GLENALLACHIE
IMPERIAL 1995 20 YEAR (THE ULTIMATE),Single Malt,SPEYSIDE,2.72,,https://distiller.com/spirits/imperial-1995-20-year-the-ultimate,8,THE ULTIMATE WHISKY COMPANY,5,20,46.0,,,,,,,,,,,,,,,,,IMPERIAL
CAOL ILA 10 CONNOISSEUR’S CHOICE (GORDON & MACPHAIL),Single Malt,ISLAY,3.69,,https://distiller.com/spirits/caol-ila-10-connoisseur-s-choice-gordon-macphail,8,,3,10,46.0,,,,,,,,,,,,,,,,,CAOL ILA
GLENCADAM 18,Single Malt,HIGHLAND,3.69,,https://distiller.com/spirits/glencadam-18,8,,4,18,46.0,,,,,,,,,,,,,,,,,GLENCADAM
GLENMORANGIE GRAND VINTAGE 1989,Single Malt,HIGHLAND,4.31,92.0,https://distiller.com/spirits/glenmorangie-grand-vintage-1989,8,GLENMORANGIE,5,NAS,43.0,FRUITY & SWEET,"{""smoky"":15,""peaty"":0,""spicy"":35,""herbal"":15,""oily"":15,""full_bodied"":50,""rich"":50,""sweet"":85,""briny"":10,""salty"":10,""vanilla"":25,""tart"":35,""fruity"":90,""floral"":55}",15.0,0.0,35.0,15.0,15.0,50.0,50.0,85.0,10.0,10.0,25.0,35.0,90.0,55.0,GLENMORANGIE
LINKWOOD-GLENLIVET 23 YEAR SMALL BATCH (CADENHEAD'S),Single Malt,SPEYSIDE,4.03,,https://distiller.com/spirits/linkwood-glenlivet-23-years-cadenhead,8,CADENHEAD SMALL BATCH,5,23,55.0,,,,,,,,,,,,,,,,,GLENLIVET
TORMORE 1992 21 YEAR CASK #100 BERRYS' OWN (BERRY BROS & RUDD),Single Malt,SPEYSIDE,3.84,,https://distiller.com/spirits/tormore-1992-21-year-cask-100-berrys-own-berry-bros-rudd,9,BERRYS' OWN SELECTION,4,21,54.0,,,,,,,,,,,,,,,,,TORMORE
GLENALLACHIE 7 YEAR BATTLEHILL (DUNCAN TAYLOR),Single Malt,SPEYSIDE,3.03,,https://distiller.com/spirits/glenallachie-7-year-battlehill-duncan-taylor,8,DUNCAN TAYLOR BATTLEHILL,3,7,55.0,,,,,,,,,,,,,,,,,GLENALLACHIE
GLEN SCOTIA 25 YEAR,Single Malt,CAMPBELTOWN,4.31,90.0,https://distiller.com/spirits/glen-scotia-25-year,8,GLEN SCOTIA,5,25,48.8,SPICY & SMOKY,"{""smoky"":75,""peaty"":30,""spicy"":75,""herbal"":50,""oily"":40,""full_bodied"":60,""rich"":60,""sweet"":55,""briny"":65,""salty"":60,""vanilla"":55,""tart"":45,""fruity"":70,""floral"":20}",75.0,30.0,75.0,50.0,40.0,60.0,60.0,55.0,65.0,60.0,55.0,45.0,70.0,20.0,GLEN SCOTIA
BRUICHLADDICH BERE BARLEY 2009,Single Malt,ISLAY,4.34,,https://distiller.com/spirits/bruichladdich-bere-barley-2009,10,BRUICHLADDICH,3,NAS,50.0,,,,,,,,,,,,,,,,,BRUICHLADDICH
SPEY 18 YEAR,Single Malt,SPEYSIDE,3.78,,https://distiller.com/spirits/spey-18-year,9,SPEY,3,18,46.0,,,,,,,,,,,,,,,,,SPEY
LINKWOOD 37 YEAR 1978 (2016 SPECIAL RELEASE),Single Malt,SPEYSIDE,4.66,90.0,https://distiller.com/spirits/linkwood-37-year-1978-2016-special-release,10,LINKWOOD,5,37,50.3,FULL BODIED & FRUITY,"{""smoky"":10,""peaty"":0,""spicy"":50,""herbal"":40,""oily"":30,""full_bodied"":70,""rich"":50,""sweet"":40,""briny"":10,""salty"":60,""vanilla"":40,""tart"":30,""fruity"":60,""floral"":30}",10.0,0.0,50.0,40.0,30.0,70.0,50.0,40.0,10.0,60.0,40.0,30.0,60.0,30.0,LINKWOOD
MANNOCHMORE 25 YEAR 1990 (2016 SPECIAL RELEASE),Single Malt,SPEYSIDE,4.41,,https://distiller.com/spirits/mannochmore-25-year-1990-2016-special-release,8,MANNOCHMORE,5,25,53.4,,,,,,,,,,,,,,,,,MANNOCHMORE
OLD PULTENEY 1989 VINTAGE,Single Malt,HIGHLAND,4.63,,https://distiller.com/spirits/old-pulteney-1989-vintage,8,OLD PULTENEY,5,NAS,46.0,,,,,,,,,,,,,,,,,PULTENEY
GLEN SPEY 12 YEAR FLORA & FAUNA,Single Malt,SPEYSIDE,3.56,,https://distiller.com/spirits/glen-spey-12-year-flora-fauna,9,GLEN SPEY,3,NAS,43.0,,,,,,,,,,,,,,,,,GLEN SPEY
BRUICHLADDICH THE SIXTEENS BOURBON CASK AGED,Single Malt,ISLAY,4.59,,https://distiller.com/spirits/bruichladdich-the-sixteens-bourbon-cask-aged,9,BRUICHLADDICH,4,16,46.0,,,,,,,,,,,,,,,,,BRUICHLADDICH
AINSLEY BRAE SAUTERNES CASK FINISH,Single Malt,HIGHLAND,2.97,,https://distiller.com/spirits/ainsley-brae-sauternes-cask-finish,9,AINSLEY BRAE,2,NAS,40.0,,,,,,,,,,,,,,,,,AINSLEY BRAE
BRUICHLADDICH CUVEE 640 EROICA,Single Malt,ISLAY,4.69,,https://distiller.com/spirits/bruichladdich-cuvee-640-eroica,8,BRUICHLADDICH,5,21,46.0,,,,,,,,,,,,,,,,,BRUICHLADDICH
ROYAL LOCHNAGAR SELECTED RESERVE,Single Malt,HIGHLAND,4.47,,https://distiller.com/spirits/royal-lochnagar-selected-reserve,8,ROYAL LOCHNAGAR,5,NAS,43.0,,,,,,,,,,,,,,,,,ROYAL LOCHNAGAR
JURA CAMAS AN STACA 30 YEAR,Single Malt,ISLANDS,3.75,89.0,https://distiller.com/spirits/jura-camas-an-staca-30-year,8,JURA,5,30,44.0,SWEET & RICH,"{""smoky"":20,""peaty"":0,""spicy"":50,""herbal"":20,""oily"":20,""full_bodied"":70,""rich"":70,""sweet"":75,""briny"":20,""salty"":20,""vanilla"":40,""tart"":20,""fruity"":60,""floral"":30}",20.0,0.0,50.0,20.0,20.0,70.0,70.0,75.0,20.0,20.0,40.0,20.0,60.0,30.0,JURA
GLENALLACHIE 10 YEAR OLD (CASK STRENGTH BATCH #5),Single Malt,SPEYSIDE,4.46,,https://distiller.com/spirits/glenallachie-10-year-old-cask-strength-batch-5,7,,3,10,55.9,,,,,,,,,,,,,,,,,GLENALLACHIE
GLEN SCOTIA CAMPBELTOWN MALT FESTIVAL 2021,Single Malt,CAMPBELTOWN,4.07,,https://distiller.com/spirits/glen-scotia-campbeltown-malt-festival-2021,7,,2,10,56.1,,,,,,,,,,,,,,,,,GLEN SCOTIA
DALMORE 25 YEAR,Single Malt,HIGHLAND,4.68,,https://distiller.com/spirits/dalmore-25-year,7,THE DALMORE,5,25,42.0,,,,,,,,,,,,,,,,,DALMORE
SHIELDAIG SINGLE MALT SCOTCH WHISKY OLOROSO CASK EDITION,Single Malt,SPEYSIDE,3.25,,https://distiller.com/spirits/shieldaig-single-malt-scotch-whisky-oloroso-cask-edition,9,,2,NAS,43.0,,,,,,,,,,,,,,,,,OTHER
GLEN FOHDRY DARAICH IAPANACH,Single Malt,SPEYSIDE,3.43,,https://distiller.com/spirits/glen-fohdry-daraich-iapanach,7,,3,12,47.1,,,,,,,,,,,,,,,,,OTHER
SILVER SEAL 12 YEAR,Single Malt,SPEYSIDE,3.75,,https://distiller.com/spirits/silver-seal-12-year,7,,1,12,40.0,,,,,,,,,,,,,,,,,OTHER
ISLAY GOLD ORLA,Single Malt,ISLAY,2.82,,https://distiller.com/spirits/islay-gold-orla,7,,2,NAS,40.0,,,,,,,,,,,,,,,,,OTHER
GLENGOYNE CASK STRENGTH BATCH NO. 007,Single Malt,HIGHLAND,3.61,,https://distiller.com/spirits/glengoyne-cask-strength-batch-no-007,7,,4,NAS,58.9,,,,,,,,,,,,,,,,,GLENGOYNE
MACALLAN CONCEPT NO. 2,Single Malt,SPEYSIDE,4.14,,https://distiller.com/spirits/macallan-concept-no-2,7,,4,NAS,40.0,,,,,,,,,,,,,,,,,MACALLAN
MORTLACH 12 YRS. SINGLE MALT SCOTCH WHISKY,Single Malt,DUFFTOWN,3.61,,https://distiller.com/spirits/mortlach-12-yrs-single-malt-scotch-whisky,7,,3,12,43.4,,,,,,,,,,,,,,,,,MORTLACH
CU BOCAN CREATION 1,Single Malt,HIGHLAND,3.43,,https://distiller.com/spirits/cu-bocan-creation-1,7,,3,NAS,46.0,,,,,,,,,,,,,,,,,OTHER
THE MACALLAN RARE CASK BATCH NO. 2 (2017 RELEASE),Single Malt,HIGHLAND,4.61,,https://distiller.com/spirits/the-macallan-rare-cask-batch-no-2-2017-release,7,,5,NAS,43.0,,,,,,,,,,,,,,,,,MACALLAN
ABERLOUR 10 YEARS FOREST RESERVE,Single Malt,SPEYSIDE,3.54,,https://distiller.com/spirits/aberlour-10-years-forest-reserve,7,,1,10,40.0,,,,,,,,,,,,,,,,,ABERLOUR
TALISKER 2003 (BOTTLED 2014) AMOROSO CASK FINISH - DISTILLERS EDITION,Single Malt,ISLAND,3.93,,https://distiller.com/spirits/talisker-2003-bottled-2014-amoroso-cask-finish-distillers-edition,7,,2,NAS,45.8,,,,,,,,,,,,,,,,,TALISKER
GLENLIVET 13 YEAR SHERRY CASK MATURED,Single Malt,SPEYSIDE,3.93,,https://distiller.com/spirits/glenlivet-13-year-sherry-cask-matured,7,THE GLENLIVET,4,13,40.0,,,,,,,,,,,,,,,,,GLENLIVET
CRAIGELLACHIE EXCEPTIONAL CASK SERIES 19 YEAR SINGLE CASK,Single Malt,SPEYSIDE,4.46,89.0,https://distiller.com/spirits/craigellachie-exceptional-cask-series-19-year-single-cask,7,CRAIGELLACHIE,5,19,55.2,RICH & FULL BODIED,"{""smoky"":10,""peaty"":5,""spicy"":50,""herbal"":40,""oily"":60,""full_bodied"":65,""rich"":65,""sweet"":55,""briny"":20,""salty"":10,""vanilla"":55,""tart"":15,""fruity"":25,""floral"":20}",10.0,5.0,50.0,40.0,60.0,65.0,65.0,55.0,20.0,10.0,55.0,15.0,25.0,20.0,CRAIGELLACHIE
THE BALVENIE TUN 1509 BATCH 6,Single Malt,SPEYSIDE,4.07,,https://distiller.com/spirits/the-balvenie-tun-1509-batch-6,7,THE BALVENIE,5,NAS,50.4,,,,,,,,,,,,,,,,,BALVENIE
HIGHLAND PARK 14,Single Malt,,4.07,,https://distiller.com/spirits/highland-park-14,7,,3,NAS,,,,,,,,,,,,,,,,,,HIGHLAND PARK
COMPASS BOX MYTHS & LEGENDS II,Single Malt,,4.32,,https://distiller.com/spirits/compass-box-myths-legends-ii,7,COMPASS BOX,5,NAS,46.0,,,,,,,,,,,,,,,,,COMPASS BOX
GLENALLACHIE 8 YEAR KOVAL RYE QUARTER CASK WOOD FINISH,Single Malt,SPEYSIDE,3.25,88.0,https://distiller.com/spirits/glenallachie-8-year-koval-rye-quarter-cask-wood-finish,7,GLENALLACHIE,3,8,48.0,SPICY,"{""smoky"":0,""peaty"":0,""spicy"":50,""herbal"":10,""oily"":30,""full_bodied"":35,""rich"":35,""sweet"":10,""briny"":0,""salty"":0,""vanilla"":20,""tart"":25,""fruity"":30,""floral"":10}",0.0,0.0,50.0,10.0,30.0,35.0,35.0,10.0,0.0,0.0,20.0,25.0,30.0,10.0,GLENALLACHIE
KIRKWALL BAY,Single Malt,ORKNEY ISLES,3.43,,https://distiller.com/spirits/kirkwall-bay,8,,3,6,46.0,,,,,,,,,,,,,,,,,OTHER
THE ARRAN MACHRIE MOORE CASK STRENGTH (5TH EDITION),Single Malt,ISLANDS,3.39,,https://distiller.com/spirits/the-arran-machrie-moore-cask-strength-5th-edition,7,,4,NAS,56.0,,,,,,,,,,,,,,,,,ARRAN
GLEN GARIOCH RENAISSANCE 17 CHAPITRE 3,Single Malt,HIGHLAND,3.71,,https://distiller.com/spirits/glen-garioch-renaissance-17-chapitre-3,7,,5,17,50.0,,,,,,,,,,,,,,,,,GLEN GARIOCH
GLENDRONACH BOYNSMILL 16 YEAR,Single Malt,HIGHLAND,4.36,,https://distiller.com/spirits/glendronach-boynsmill-16-year,9,GLENDRONACH,4,16,46.0,,,,,,,,,,,,,,,,,GLENDRONACH
DALMORE CONSTELLATION 1979 CASK 1093 33 YEAR,Single Malt,HIGHLAND,4.25,96.0,https://distiller.com/spirits/dalmore-constellation-1979-cask-1093-33-year,7,THE DALMORE,5,33,58.9,RICH & FRUITY,"{""smoky"":30,""peaty"":0,""spicy"":60,""herbal"":10,""oily"":0,""full_bodied"":70,""rich"":90,""sweet"":70,""briny"":0,""salty"":0,""vanilla"":40,""tart"":20,""fruity"":70,""floral"":20}",30.0,0.0,60.0,10.0,0.0,70.0,90.0,70.0,0.0,0.0,40.0,20.0,70.0,20.0,DALMORE
SPEYBURN 25 YEAR,Single Malt,HIGHLAND,4.43,90.0,https://distiller.com/spirits/speyburn-25-year,8,SPEYBURN,5,25,46.0,SWEET & RICH,"{""smoky"":0,""peaty"":0,""spicy"":20,""herbal"":0,""oily"":15,""full_bodied"":70,""rich"":70,""sweet"":75,""briny"":0,""salty"":5,""vanilla"":40,""tart"":20,""fruity"":50,""floral"":0}",0.0,0.0,20.0,0.0,15.0,70.0,70.0,75.0,0.0,5.0,40.0,20.0,50.0,0.0,SPEYBURN
ISLE OF RAASAY SIGNATURE SINGLE MALT BATCH 1,Single Malt,HIGHLAND,4.04,,https://distiller.com/spirits/isle-of-raasay-signature-single-malt-batch-1,6,,2,NAS,46.4,,,,,,,,,,,,,,,,,RAASAY
TALISKER DISTILLERS EDITION 2001 - 2012,Single Malt,SKYE,3.92,,https://distiller.com/spirits/talisker-distillers-edition-2001-2012,6,,3,10,45.8,,,,,,,,,,,,,,,,,TALISKER
GLENKINCHIE DISTILLERS EDITION (2020 RELEASE),Single Malt,LOWLANDS,3.83,,https://distiller.com/spirits/glenkinchie-distillers-edition-2020-release,6,GLENKINCHIE,4,NAS,43.0,,,,,,,,,,,,,,,,,GLENKINCHIE
CRAGGANMORE DISTILLERS EDITION (2020 RELEASE),Single Malt,SPEYSIDE,3.96,,https://distiller.com/spirits/cragganmore-distillers-edition-2020-release,6,CRAGGANMORE,4,NAS,40.0,,,,,,,,,,,,,,,,,CRAGGANMORE
JURA WINTER EDITION,Single Malt,ISLANDS,3.79,86.0,https://distiller.com/spirits/jura-winter-edition,6,JURA,2,NAS,40.0,FRUITY,"{""smoky"":0,""peaty"":0,""spicy"":40,""herbal"":20,""oily"":35,""full_bodied"":35,""rich"":30,""sweet"":30,""briny"":0,""salty"":0,""vanilla"":20,""tart"":35,""fruity"":40,""floral"":10}",0.0,0.0,40.0,20.0,35.0,35.0,30.0,30.0,0.0,0.0,20.0,35.0,40.0,10.0,JURA
MACALLAN 15,Single Malt,HIGHLAND,4.38,,https://distiller.com/spirits/macallan-15,6,,1,15,43.0,,,,,,,,,,,,,,,,,MACALLAN
GELFLING WING SEALANT (36.160 SMWS),Single Malt,SPEYSIDE,3.96,,https://distiller.com/spirits/gelfling-wing-sealant-36-160-smws,6,,4,11,60.2,,,,,,,,,,,,,,,,,OTHER
THE DALMORE VINTAGE 2007 AGED 10 YEARS,Single Malt,HIGHLAND,3.88,,https://distiller.com/spirits/the-dalmore-vintage-2007-aged-10-years,6,,3,10,46.0,,,,,,,,,,,,,,,,,DALMORE
ARRAN THE CÔTE-RÔTIE CASK FINISH,Single Malt,ISLANDS,4.04,,https://distiller.com/spirits/arran-the-cote-rotie-cask-finish,6,,3,NAS,50.0,,,,,,,,,,,,,,,,,ARRAN
ABERLOUR CASG ANNAMH (BATCH 2),Single Malt,SPEYSIDE,4.0,,https://distiller.com/spirits/aberlour-casg-annamh-batch-2,6,,2,NAS,,,,,,,,,,,,,,,,,,ABERLOUR
SPRINGBANK 10 YEAR LOCAL BARLEY (2019),Single Malt,CAMPBELTOWN,4.13,,https://distiller.com/spirits/springbank-10-year-local-barley-2019,6,,5,10,56.2,,,,,,,,,,,,,,,,,SPRINGBANK
PENCIL SHAVINGS FLOATING ON A ROCK POOL 66.142 (SMWS),Single Malt,HIGHLAND,3.79,,https://distiller.com/spirits/pencil-shavings-floating-on-a-rock-pool-66-142-smws,6,SMWS,3,12,61.1,,,,,,,,,,,,,,,,,SMWS
EDRADOUR BALLECHIN 8 YEARS,Single Malt,HIGHLAND,3.75,,https://distiller.com/spirits/edradour-ballechin-8-years,6,,4,8,46.0,,,,,,,,,,,,,,,,,EDRADOUR
TOBERMORY 10 YEARS OLD,Single Malt,ISLE OF MULL,3.79,,https://distiller.com/spirits/tobermory-10-years-old,6,,2,10,40.0,,,,,,,,,,,,,,,,,TOBERMORY
EDRADOUR 2009 10 YEAR UN-CHILLFILTERED COLLECTION (SIGNATORY),Single Malt,HIGHLAND,4.21,,https://distiller.com/spirits/edradour-2009-10-year-un-chillfiltered-collection-signatory,6,SIGNATORY UN-CHILLFILTERED COLLECTION,2,10,46.0,,,,,,,,,,,,,,,,,EDRADOUR
ANCNOC VINTAGE 2002,Single Malt,HIGHLAND,3.71,87.0,https://distiller.com/spirits/ancnoc-vintage-2002,6,ANCNOC,3,NAS,46.0,FRUITY,"{""smoky"":0,""peaty"":0,""spicy"":5,""herbal"":0,""oily"":0,""full_bodied"":5,""rich"":10,""sweet"":20,""briny"":0,""salty"":0,""vanilla"":20,""tart"":0,""fruity"":40,""floral"":0}",0.0,0.0,5.0,0.0,0.0,5.0,10.0,20.0,0.0,0.0,20.0,0.0,40.0,0.0,ANCNOC
ARRAN THE BOTHY QUARTER CASK BATCH 4,Single Malt,ISLE OF ARRAN,3.9,,https://distiller.com/spirits/arran-the-bothy-quarter-cask-batch-4,7,,3,9,53.8,,,,,,,,,,,,,,,,,ARRAN
BLAIR ATHOL 2007 11 YEAR 86 PROOF COLLECTION (SIGNATORY),Single Malt,HIGHLAND,3.46,,https://distiller.com/spirits/blair-athol-2007-11-year-86-proof-collection-signatory,6,SIGNATORY 86 PROOF COLLECTION,2,11,43.0,,,,,,,,,,,,,,,,,BLAIR ATHOL
ABERLOUR WHITE OAK,Single Malt,SPEYSIDE,3.67,,https://distiller.com/spirits/aberlour-white-oak,6,,2,10,40.0,,,,,,,,,,,,,,,,,ABERLOUR
GLENGOYNE TEAPOT DRAM BATCH NO. 006,Single Malt,HIGHLAND,4.5,,https://distiller.com/spirits/glengoyne-teapot-dram-batch-6,6,GLENGOYNE,4,NAS,59.3,,,,,,,,,,,,,,,,,GLENGOYNE
GLEN MARNOCH SPEYSIDE SINGLE MALT SCOTCH WHISKY,Single Malt,SPEYSIDE,2.98,,https://distiller.com/spirits/glen-marnoch-speyside-single-malt-scotch-whisky,9,,1,NAS,40.0,,,,,,,,,,,,,,,,,SPEYSIDE
TALISKER DISTILLERS EDITION DOUBLE MATURED,Single Malt,ISLE OF SKYE,3.42,,https://distiller.com/spirits/talisker-distillers-edition-double-matured,6,,1,NAS,45.0,,,,,,,,,,,,,,,,,TALISKER
THE GLENROTHES MINISTER'S RESERVE 21 YEAR,Single Malt,SPEYSIDE,4.58,,https://distiller.com/spirits/the-glenrothes-minister-s-reserve-21-year,6,THE GLENROTHES,2,21,43.0,,,,,,,,,,,,,,,,,GLENROTHES
LISMORE 18 YEAR,Single Malt,SPEYSIDE,3.42,,https://distiller.com/spirits/lismore-18-year,6,,2,18,43.0,,,,,,,,,,,,,,,,,OTHER
DAFTMILL 2006 WINTER BATCH RELEASE (UK),Single Malt,LOWLANDS,4.42,,https://distiller.com/spirits/daftmill-2006-winter-batch-release-uk,6,DAFTMILL,5,12,46.0,,,,,,,,,,,,,,,,,DAFTMILL
GLENMORANGIE SHERRY WOOD FINISH,Single Malt,,3.38,,https://distiller.com/spirits/glenmorangie-sherry-wood-finish,6,,4,NAS,,,,,,,,,,,,,,,,,,GLENMORANGIE
LAPHROAIG CASK STRENGTH 2011 EDITION 25YO,Single Malt,ISLAY,4.58,,https://distiller.com/spirits/laphroaig-cask-strength-2011-edition-25yo,7,,5,25,48.6,,,,,,,,,,,,,,,,,LAPHROAIG
THE HALF CENTURY BLEND BATCH 3,Single Malt,,4.54,,https://distiller.com/spirits/the-half-century-blend-batch-3,6,,5,NAS,,,,,,,,,,,,,,,,,,OTHER
1770 GLASGOW SINGLE MALT RELEASE NO. 1,Single Malt,LOWLANDS,3.02,,https://distiller.com/spirits/1770-glasgow-single-malt-release-no-1,7,1770 WHISKY,4,NAS,46.0,,,,,,,,,,,,,,,,,GLASGOW
ARDBEG LORD OF THE ISLES,Single Malt,ISLAY,4.83,,https://distiller.com/spirits/ardbeg-lord-of-the-isles,7,,5,25,46.0,,,,,,,,,,,,,,,,,ARDBEG
OBAN 15 YEAR 2001 MONTILLA FINO CASK DISTILLERS EDITION,Single Malt,HIGHLAND,4.29,,https://distiller.com/spirits/oban-15-year-2001-montilla-fino-cask-distillers-edition,6,,3,15,43.0,,,,,,,,,,,,,,,,,OBAN
ABERFELDY 28 YEAR,Single Malt,HIGHLAND,4.83,,https://distiller.com/spirits/aberfeldy-28-year,6,ABERFELDY,5,28,40.0,,,,,,,,,,,,,,,,,ABERFELDY
ARDBEG VERY YOUNG (6 YEAR),Single Malt,ISLAY,3.96,,https://distiller.com/spirits/ardbeg-very-young-6-year,6,,5,6,58.3,,,,,,,,,,,,,,,,,ARDBEG
BRUICHLADDICH YELLOW SUBMARINE 1991,Single Malt,ISLAY,4.79,,https://distiller.com/spirits/bruichladdich-yellow-submarine-1991,6,BRUICHLADDICH,5,25,46.0,,,,,,,,,,,,,,,,,BRUICHLADDICH
THE BALVENIE DOUBLEWOOD 25 YEAR,Single Malt,SPEYSIDE,4.29,,https://distiller.com/spirits/the-balvenie-doublewood-25-year,6,THE BALVENIE,5,25,43.0,,,,,,,,,,,,,,,,,BALVENIE
BUNNAHABHAIN PX 14 YR DISTILLERY ONLY,Single Malt,ISLAY,3.96,,https://distiller.com/spirits/bunnahabhain-px-14-yr-distillery-only,6,,4,14,54.8,,,,,,,,,,,,,,,,,BUNNAHABHAIN
GLENDRONACH 1993 25 YEAR HAND-FILLED MANAGER'S CASK 400,Single Malt,SPEYSIDE,5.0,,https://distiller.com/spirits/glendronach-1993-25-year-hand-filled-manager-s-cask-400,6,,5,25,53.6,,,,,,,,,,,,,,,,,GLENDRONACH
GLENTAUCHERS 7 YEAR - BATTLEHILL (DUNCAN TAYLOR),Single Malt,SPEYSIDE,1.75,,https://distiller.com/spirits/glentauchers-7-year-battlehill-duncan-taylor,6,,3,7,56.0,,,,,,,,,,,,,,,,,GLENTAUCHERS
LEDAIG 19 YEAR MASARLA FINISH,Single Malt,ISLAND,4.5,,https://distiller.com/spirits/ledaig-19-year-masarla-finish,7,,4,19,51.0,,,,,,,,,,,,,,,,,OTHER
GLENROTHES 1997 19 YEAR UN-CHILLFILTERED COLLECTION (SIGNATORY),Single Malt,SPEYSIDE,3.96,,https://distiller.com/spirits/glenrothes-1997-19-year-vintage-signatory,6,SIGNATORY UN-CHILLFILTERED COLLECTION,4,19,46.0,,,,,,,,,,,,,,,,,GLENROTHES
GLENDRONACH 1990 27 YEAR SHERRY BUTT SINGLE CASK #2257,Single Malt,HIGHLAND,4.29,,https://distiller.com/spirits/glendronach-1990-27-year-sherry-butt-single-cask-2257,6,GLENDRONACH,5,27,52.9,,,,,,,,,,,,,,,,,GLENDRONACH
BRUICHLADDICH 1985/32 BOURBON: HIDDEN GLORY,Single Malt,ISLAY,4.83,90.0,https://distiller.com/spirits/bruichladdich-1985-32-bourbon-hidden-glory,6,BRUICHLADDICH,5,32,48.7,FRUITY & SWEET,"{""smoky"":10,""peaty"":0,""spicy"":55,""herbal"":55,""oily"":40,""full_bodied"":60,""rich"":80,""sweet"":80,""briny"":30,""salty"":30,""vanilla"":60,""tart"":65,""fruity"":80,""floral"":40}",10.0,0.0,55.0,55.0,40.0,60.0,80.0,80.0,30.0,30.0,60.0,65.0,80.0,40.0,BRUICHLADDICH
BRUICHLADDICH 1986/30 SHERRY: THE MAGNIFICENT SEVEN,Single Malt,ISLAY,4.63,95.0,https://distiller.com/spirits/bruichladdich-1986-30-sherry-the-magnificent-seven,6,BRUICHLADDICH,5,30,44.6,RICH & FULL BODIED,"{""smoky"":10,""peaty"":0,""spicy"":30,""herbal"":50,""oily"":50,""full_bodied"":90,""rich"":90,""sweet"":75,""briny"":55,""salty"":55,""vanilla"":60,""tart"":85,""fruity"":85,""floral"":30}",10.0,0.0,30.0,50.0,50.0,90.0,90.0,75.0,55.0,55.0,60.0,85.0,85.0,30.0,BRUICHLADDICH
BENRINNES 1997 17 YEAR CASK #9631 BERRYS' OWN (BERRY BROS & RUDD),Single Malt,SPEYSIDE,3.17,,https://distiller.com/spirits/benrinnes-1997-17-year-cask-9631-berrys-own-berry-bros-rudd,6,BERRYS' OWN SELECTION,4,17,46.0,,,,,,,,,,,,,,,,,BENRINNES
GLEN ORD 2004 11 YEAR CASK #142 CASK COLLECTION (A.D. RATTRAY),Single Malt,HIGHLAND,2.38,,https://distiller.com/spirits/glen-ord-2004-11-year-cask-142-cask-collection-a-d-rattray,6,A.D. RATTRAY CASK COLLECTION,3,11,58.9,,,,,,,,,,,,,,,,,GLEN ORD
GLENBURGIE 15 YEAR DISTILLERY LABELS (GORDON & MACPHAIL),Single Malt,SPEYSIDE,3.0,,https://distiller.com/spirits/glenburgie-15-year-distillery-label-gordon-macphail,7,GORDON & MACPHAIL DISTILLERY LABELS,4,15,43.0,,,,,,,,,,,,,,,,,GLENBURGIE
