Whisk_Name,Whisk_Type,Whisk_Loc,Communal_Rating,Distiller_Score,URL,Num_Revs,Brand,Cost,Age,ABV,Flavor,Profile,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral,Distiller
TOMATIN 15 YEAR (46%),Single Malt,HIGHLAND,3.49,84.0,https://distiller.com/spirits/tomatin-15-year-46,23,TOMATIN,3,15,46.0,VANILLA,"{""smoky"":0,""peaty"":0,""spicy"":30,""herbal"":10,""oily"":20,""full_bodied"":30,""rich"":25,""sweet"":30,""briny"":0,""salty"":0,""vanilla"":35,""tart"":10,""fruity"":30,""floral"":10}",0.0,0.0,30.0,10.0,20.0,30.0,25.0,30.0,0.0,0.0,35.0,10.0,30.0,10.0,TOMATIN
THE GLENROTHES MANSE RESERVE,Single Malt,SPEYSIDE,3.65,,https://distiller.com/spirits/the-glenrothes-manse-reserve,21,THE GLENROTHES,2,NAS,43.0,,,,,,,,,,,,,,,,,GLENROTHES
CAOL ILA 15 YEAR UNPEATED STYLE (2014 SPECIAL RELEASE),Single Malt,ISLAY,3.68,,https://distiller.com/spirits/caol-ila-15-year-unpeated-style,22,CAOL ILA,4,15,60.39,,,,,,,,,,,,,,,,,CAOL ILA
BRUICHLADDICH THE LADDIE 16 YEAR,Single Malt,ISLAY,4.14,,https://distiller.com/spirits/bruichladdich-the-laddie-sixteen,21,BRUICHLADDICH,5,16,46.0,,,,,,,,,,,,,,,,,BRUICHLADDICH
GLEN DEVERON 10 YEAR,Single Malt,HIGHLAND,2.57,,https://distiller.com/spirits/glen-deveron-10-year,21,MACDUFF DISTILLERY,2,10,40.0,,,,,,,,,,,,,,,,,MACDUFF DISTILLERY
MILTONDUFF 10 YEAR DISTILLERY LABELS (GORDON & MACPHAIL),Single Malt,SPEYSIDE,3.35,,https://distiller.com/spirits/miltonduff-10-year-gordon-macphail,22,GORDON & MACPHAIL DISTILLERY LABELS,2,10,40.0,,,,,,,,,,,,,,,,,MILTONDUFF
HIGHLAND PARK LEIF ERIKSSON,Single Malt,ISLANDS,3.62,,https://distiller.com/spirits/highland-park-leif-eriksson,22,HIGHLAND PARK,3,NAS,40.0,,,,,,,,,,,,,,,,,HIGHLAND PARK
THE MACALLAN DIRECTOR'S EDITION,Single Malt,HIGHLAND,4.15,,https://distiller.com/spirits/the-macallan-directors-edition,22,THE MACALLAN,3,NAS,40.0,,,,,,,,,,,,,,,,,MACALLAN
THE BALVENIE MADEIRA CASK 17 YEAR,Single Malt,SPEYSIDE,4.62,90.0,https://distiller.com/spirits/the-balvenie-madeira-cask-17-year,22,THE BALVENIE,5,17,43.0,FRUITY & FULL BODIED,"{""smoky"":5,""peaty"":0,""spicy"":65,""herbal"":10,""oily"":15,""full_bodied"":65,""rich"":60,""sweet"":60,""briny"":5,""salty"":5,""vanilla"":40,""tart"":35,""fruity"":75,""floral"":15}",5.0,0.0,65.0,10.0,15.0,65.0,60.0,60.0,5.0,5.0,40.0,35.0,75.0,15.0,BALVENIE
EDRADOUR STRAIGHT FROM THE CASK PORT WOOD FINISH 12 YEAR,Single Malt,HIGHLAND,4.2,95.0,https://distiller.com/spirits/edradour-straight-from-the-cask-port-finish-12-year,21,EDRADOUR,4,12,56.1,RICH & FULL BODIED,"{""smoky"":40,""peaty"":0,""spicy"":70,""herbal"":40,""oily"":80,""full_bodied"":100,""rich"":100,""sweet"":70,""briny"":50,""salty"":50,""vanilla"":80,""tart"":60,""fruity"":80,""floral"":90}",40.0,0.0,70.0,40.0,80.0,100.0,100.0,70.0,50.0,50.0,80.0,60.0,80.0,90.0,EDRADOUR
BENRIACH SAUTERNES FINISH 16 YEAR,Single Malt,SPEYSIDE,3.75,91.0,https://distiller.com/spirits/benriach-sauternes-finish-16-year,22,BENRIACH,4,16,46.0,FRUITY & SWEET,"{""smoky"":10,""peaty"":0,""spicy"":60,""herbal"":30,""oily"":20,""full_bodied"":60,""rich"":60,""sweet"":80,""briny"":0,""salty"":0,""vanilla"":30,""tart"":50,""fruity"":80,""floral"":40}",10.0,0.0,60.0,30.0,20.0,60.0,60.0,80.0,0.0,0.0,30.0,50.0,80.0,40.0,BENRIACH
THE MACALLAN DOUBLE CASK 18 YEAR,Single Malt,HIGHLAND,4.28,89.0,https://distiller.com/spirits/the-macallan-double-cask-18-year,20,THE MACALLAN,5,18,43.0,FRUITY & SWEET,"{""smoky"":25,""peaty"":0,""spicy"":55,""herbal"":25,""oily"":25,""full_bodied"":60,""rich"":60,""sweet"":60,""briny"":10,""salty"":10,""vanilla"":25,""tart"":35,""fruity"":65,""floral"":0}",25.0,0.0,55.0,25.0,25.0,60.0,60.0,60.0,10.0,10.0,25.0,35.0,65.0,0.0,MACALLAN
GLEN FOHDRY,Single Malt,DUBLAICH,3.25,,https://distiller.com/spirits/glen-fohdry,22,,2,NAS,47.1,,,,,,,,,,,,,,,,,OTHER
BLADNOCH 17 YEAR CALIFORNIA RED WINE CASK FINISH,Single Malt,LOWLANDS,3.93,,https://distiller.com/spirits/bladnoch-17-year-california-red-wine-cask-finish,20,BLADNOCH,5,17,46.7,,,,,,,,,,,,,,,,,BLADNOCH
THE ARRAN MALT SHERRY CASK FINISH SINGLE MALT,Single Malt,,3.69,,https://distiller.com/spirits/the-arran-malt-sherry-cask-finish-single-malt,21,,3,NAS,,,,,,,,,,,,,,,,,,ARRAN
THE MACALLAN RARE CASK BATCH NO.1 (2018 RELEASE),Single Malt,HIGHLAND,4.6,,https://distiller.com/spirits/the-macallan-rare-cask-batch-no-1-2018-release,20,THE MACALLAN,5,NAS,43.0,,,,,,,,,,,,,,,,,MACALLAN
BEINN DUBH- BLACK MOUNTAIN (THE SPEYSIDE DISTILLERY),Single Malt,SPEYSIDE,3.16,,https://distiller.com/spirits/beinn-dubh-black-mountain-the-speyside-distillery,20,,2,NAS,43.0,,,,,,,,,,,,,,,,,SPEYSIDE
EDRADOUR THE FAIRY FLAG 15 YEAR,Single Malt,HIGHLAND,4.04,,https://distiller.com/spirits/edradour-the-fairy-flag-15-year,20,EDRADOUR,4,15,46.0,,,,,,,,,,,,,,,,,EDRADOUR
SPEY TRUTINA,Single Malt,SPEYSIDE,3.63,80.0,https://distiller.com/spirits/spey-trutina,21,SPEY,2,NAS,46.0,FRUITY & VANILLA,"{""smoky"":0,""peaty"":0,""spicy"":15,""herbal"":20,""oily"":30,""full_bodied"":40,""rich"":40,""sweet"":65,""briny"":0,""salty"":0,""vanilla"":70,""tart"":60,""fruity"":70,""floral"":50}",0.0,0.0,15.0,20.0,30.0,40.0,40.0,65.0,0.0,0.0,70.0,60.0,70.0,50.0,SPEY
GLENGLASSAUGH OCTAVES CLASSIC,Single Malt,HIGHLAND,3.83,,https://distiller.com/spirits/glenglassaugh-octaves-classic,20,GLENGLASSAUGH,3,NAS,44.0,,,,,,,,,,,,,,,,,GLENGLASSAUGH
MORTLACH SPECIAL STRENGTH,Single Malt,SPEYSIDE,3.92,,https://distiller.com/spirits/mortlach-special-strength,23,MORTLACH,4,NAS,49.0,,,,,,,,,,,,,,,,,MORTLACH
GLENBURGIE 10 YEAR DISTILLERY LABELS (GORDON & MACPHAIL),Single Malt,SPEYSIDE,3.56,,https://distiller.com/spirits/glenburgie-10-year-gordon-macphail,21,GORDON & MACPHAIL DISTILLERY LABELS,3,10,40.0,,,,,,,,,,,,,,,,,GLENBURGIE
BENRIACH 15 YEAR DARK RUM FINISH,Single Malt,SPEYSIDE,3.84,85.0,https://distiller.com/spirits/benriach-15-year-dark-rum-finish,20,BENRIACH,3,15,46.0,SWEET & FRUITY,"{""smoky"":10,""peaty"":0,""spicy"":50,""herbal"":30,""oily"":20,""full_bodied"":60,""rich"":70,""sweet"":80,""briny"":0,""salty"":10,""vanilla"":70,""tart"":20,""fruity"":70,""floral"":50}",10.0,0.0,50.0,30.0,20.0,60.0,70.0,80.0,0.0,10.0,70.0,20.0,70.0,50.0,BENRIACH
GLEN GARIOCH 15 YEAR RENAISSANCE,Single Malt,HIGHLAND,4.09,90.0,https://distiller.com/spirits/glen-garioch-15-years-old-renaissance,21,GLEN GARIOCH,4,15,51.9,RICH & FULL BODIED,"{""smoky"":0,""peaty"":0,""spicy"":25,""herbal"":5,""oily"":10,""full_bodied"":80,""rich"":80,""sweet"":70,""briny"":0,""salty"":0,""vanilla"":20,""tart"":0,""fruity"":30,""floral"":5}",0.0,0.0,25.0,5.0,10.0,80.0,80.0,70.0,0.0,0.0,20.0,0.0,30.0,5.0,GLEN GARIOCH
ISLAY GOLD SINGLE MALT SCOTCH WHISKY 10,Single Malt,ISLAY,3.89,,https://distiller.com/spirits/islay-gold-single-malt-scotch-whisky-10,19,,2,10,40.0,,,,,,,,,,,,,,,,,OTHER
TOMATIN 12 YEARS OLD BOURBON AND SHERRY CASKS,Single Malt,HIGHLAND,3.51,,https://distiller.com/spirits/tomatin-12-years-old-bourbon-and-sherry-casks,23,,2,12,40.0,,,,,,,,,,,,,,,,,TOMATIN
BENROMACH CASK STRENGTH VINTAGE 2008 (BATCH 1),Single Malt,SPEYSIDE,4.43,90.0,https://distiller.com/spirits/benromach-cask-strength-vintage-2008-batch-1,24,BENROMACH,3,NAS,57.9,FULL BODIED,"{""smoky"":20,""peaty"":15,""spicy"":25,""herbal"":15,""oily"":40,""full_bodied"":55,""rich"":40,""sweet"":25,""briny"":5,""salty"":5,""vanilla"":25,""tart"":20,""fruity"":30,""floral"":10}",20.0,15.0,25.0,15.0,40.0,55.0,40.0,25.0,5.0,5.0,25.0,20.0,30.0,10.0,BENROMACH
THE SINGLETON OF DUFFTOWN 18 YEAR,Single Malt,SPEYSIDE,3.46,88.0,https://distiller.com/spirits/the-singleton-of-dufftown-18-year,20,THE SINGLETON,3,18,40.0,FLORAL,"{""smoky"":0,""peaty"":0,""spicy"":20,""herbal"":30,""oily"":10,""full_bodied"":30,""rich"":25,""sweet"":30,""briny"":0,""salty"":0,""vanilla"":30,""tart"":30,""fruity"":35,""floral"":40}",0.0,0.0,20.0,30.0,10.0,30.0,25.0,30.0,0.0,0.0,30.0,30.0,35.0,40.0,DUFFTOWN
BALNELLAN,Single Malt,SPEYSIDE GLENLIVET,3.72,,https://distiller.com/spirits/balnellan,20,,2,NAS,40.0,,,,,,,,,,,,,,,,,OTHER
SPRINGBANK 9 YEAR LOCAL BARLEY,Single Malt,CAMPBELTOWN,4.1,93.0,https://distiller.com/spirits/springbank-9-year-local-barley,21,SPRINGBANK,4,9,57.7,RICH & FULL BODIED,"{""smoky"":25,""peaty"":25,""spicy"":10,""herbal"":20,""oily"":60,""full_bodied"":65,""rich"":65,""sweet"":20,""briny"":25,""salty"":10,""vanilla"":30,""tart"":15,""fruity"":40,""floral"":5}",25.0,25.0,10.0,20.0,60.0,65.0,65.0,20.0,25.0,10.0,30.0,15.0,40.0,5.0,SPRINGBANK
GLEN FOHDRY LÀN-ABAICH 21 YEAR,Single Malt,SPEYSIDE,3.32,,https://distiller.com/spirits/glen-fohdry-lan-abaich-21-year,20,GLEN FOHDRY,3,21,57.1,,,,,,,,,,,,,,,,,GLEN FOHDRY
AUCHENTOSHAN DISTILLERY CASK,Single Malt,LOWLANDS,4.01,,https://distiller.com/spirits/auchentoshan-distillery-cask,22,AUCHENTOSHAN,5,NAS,59.8,,,,,,,,,,,,,,,,,AUCHENTOSHAN
INCHGOWER 14 YEAR FLORA & FAUNA,Single Malt,,3.57,,https://distiller.com/spirits/inchgower-14-year-flora-fauna,19,INCHGOWER,2,14,43.0,,,,,,,,,,,,,,,,,INCHGOWER
BRUICHLADDICH BLACK ART 1989 03.1 EDITION 22 YEAR,Single Malt,ISLAY,4.55,,https://distiller.com/spirits/bruichladdich-black-art-3-1989,19,BRUICHLADDICH,5,22,48.7,,,,,,,,,,,,,,,,,BRUICHLADDICH
GLENFARCLAS 8 YEAR,Single Malt,HIGHLAND,3.64,87.0,https://distiller.com/spirits/glenfarclas-8-year,21,GLENFARCLAS,4,8,40.0,SWEET & FLORAL,"{""smoky"":0,""peaty"":0,""spicy"":45,""herbal"":45,""oily"":20,""full_bodied"":30,""rich"":15,""sweet"":65,""briny"":0,""salty"":0,""vanilla"":60,""tart"":55,""fruity"":60,""floral"":60}",0.0,0.0,45.0,45.0,20.0,30.0,15.0,65.0,0.0,0.0,60.0,55.0,60.0,60.0,GLENFARCLAS
THE BALVENIE SHERRYOAK 17 YEAR,Single Malt,SPEYSIDE,4.62,,https://distiller.com/spirits/the-balvenie-sherryoak-17-year,19,THE BALVENIE,5,17,43.0,,,,,,,,,,,,,,,,,BALVENIE
SPRINGBANK 17 YEAR SHERRY WOOD,Single Malt,CAMPBELTOWN,3.71,,https://distiller.com/spirits/springbank-17-year-sherry-wood,20,SPRINGBANK,4,17,52.3,,,,,,,,,,,,,,,,,SPRINGBANK
HAZELBURN OLOROSO MATURED 14 YR,Single Malt,CAMPBELTOWN,4.03,,https://distiller.com/spirits/hazelburn-oloroso-matured-14-yr,30,,4,14,49.3,,,,,,,,,,,,,,,,,HAZELBURN
ARDBEG 22,Single Malt,ISLAY,4.46,,https://distiller.com/spirits/ardbeg-22,18,,5,22,,,,,,,,,,,,,,,,,,ARDBEG
GLENGOYNE CUARTILLO,Single Malt,HIGHLAND,3.17,,https://distiller.com/spirits/glengoyne-cuartillo,20,,2,NAS,40.0,,,,,,,,,,,,,,,,,GLENGOYNE
CAOL ILA 15 YEAR UNPEATED STYLE (2018 SPECIAL RELEASE),Single Malt,ISLAY,3.91,,https://distiller.com/spirits/caol-ila-15-year-unpeated-style-2018-special-release,20,CAOL ILA,4,15,59.1,,,,,,,,,,,,,,,,,CAOL ILA
HAZELBURN 9 YEAR BAROLO CASK,Single Malt,CAMPBELTOWN,3.78,,https://distiller.com/spirits/hazelburn-9-year-barolo-cask,19,,3,9,57.9,,,,,,,,,,,,,,,,,HAZELBURN
DEANSTON 14 YEAR ORGANIC,Single Malt,HIGHLAND,3.25,,https://distiller.com/spirits/deanston-14-year-old-organic,19,DEANSTON,4,14,46.3,,,,,,,,,,,,,,,,,DEANSTON
TULLIBARDINE THE MURRAY CHATEAUNEUF DU PAPE FINISH,Single Malt,HIGHLAND,4.17,,https://distiller.com/spirits/tullibardine-the-murray-chateauneuf-du-pape-finish,20,TULLIBARDINE,4,NAS,49.0,,,,,,,,,,,,,,,,,TULLIBARDINE
KILCHOMAN ORIGINAL CASK STRENGTH (2016 RELEASE),Single Malt,ISLAY,4.15,,https://distiller.com/spirits/kilchoman-original-cask-strength-2016-release,19,KILCHOMAN,4,6,56.9,,,,,,,,,,,,,,,,,KILCHOMAN
